#,"Date Time, GMT-05:00",0.5 m dfb,1 m dfb,1 m dft,FLAG
1,6/28/2018 9:00,24.291,24.798,,1
2,6/28/2018 10:00,27.112,29.79,,1
3,6/28/2018 11:00,28.32,31.103,,1
4,6/28/2018 12:00,23.689,24.122,,1
5,6/28/2018 13:00,23.833,24.195,,0
6,6/28/2018 14:00,23.954,24.315,,0
7,6/28/2018 15:00,24.098,24.484,,0
8,6/28/2018 16:00,24.098,24.581,,0
9,6/28/2018 17:00,24.146,24.653,,0
10,6/28/2018 18:00,24.122,24.726,,0
11,6/28/2018 19:00,24.122,24.726,,0
12,6/28/2018 20:00,24.098,24.75,,0
13,6/28/2018 21:00,24.026,24.774,,0
14,6/28/2018 22:00,23.93,24.774,,0
15,6/28/2018 23:00,23.809,24.774,,0
16,6/29/2018 0:00,23.689,24.774,,0
17,6/29/2018 1:00,23.641,24.798,,0
18,6/29/2018 2:00,23.545,24.798,,0
19,6/29/2018 3:00,23.472,24.798,,0
20,6/29/2018 4:00,23.4,24.823,,0
21,6/29/2018 5:00,23.352,24.798,,0
22,6/29/2018 6:00,23.352,24.798,,0
23,6/29/2018 7:00,23.328,24.919,,0
24,6/29/2018 8:00,23.352,25.307,,0
25,6/29/2018 9:00,23.448,25.113,,0
26,6/29/2018 10:00,23.617,25.307,,0
27,6/29/2018 11:00,23.857,25.331,,0
28,6/29/2018 12:00,24.098,25.428,,0
29,6/29/2018 13:00,24.363,25.525,,0
30,6/29/2018 14:00,24.557,25.695,,0
31,6/29/2018 15:00,24.557,25.744,,0
32,6/29/2018 16:00,24.702,25.914,,0
33,6/29/2018 17:00,24.798,25.987,,0
34,6/29/2018 18:00,24.75,26.061,,0
35,6/29/2018 19:00,24.677,26.061,,0
36,6/29/2018 20:00,24.532,26.134,,0
37,6/29/2018 21:00,24.363,26.134,,0
38,6/29/2018 22:00,24.243,26.109,,0
39,6/29/2018 23:00,24.146,26.109,,0
40,6/30/2018 0:00,24.05,26.158,,0
41,6/30/2018 1:00,23.978,26.109,,0
42,6/30/2018 2:00,23.905,26.109,,0
43,6/30/2018 3:00,23.833,26.085,,0
44,6/30/2018 4:00,23.785,26.134,,0
45,6/30/2018 5:00,23.713,26.109,,0
46,6/30/2018 6:00,23.689,26.109,,0
47,6/30/2018 7:00,23.641,26.109,,0
48,6/30/2018 8:00,23.689,26.207,,0
49,6/30/2018 9:00,23.761,26.182,,0
50,6/30/2018 10:00,23.93,26.304,,0
51,6/30/2018 11:00,24.122,26.402,,0
52,6/30/2018 12:00,24.436,26.573,,0
53,6/30/2018 13:00,24.677,26.671,,0
54,6/30/2018 14:00,24.919,26.818,,0
55,6/30/2018 15:00,25.113,27.038,,0
56,6/30/2018 16:00,25.162,27.161,,0
57,6/30/2018 17:00,25.186,27.358,,0
58,6/30/2018 18:00,25.089,27.308,,0
59,6/30/2018 19:00,24.919,27.308,,0
60,6/30/2018 20:00,24.798,27.308,,0
61,6/30/2018 21:00,24.702,27.333,,0
62,6/30/2018 22:00,24.557,27.358,,0
63,6/30/2018 23:00,24.436,27.407,,0
64,7/1/2018 0:00,24.339,27.431,,0
65,7/1/2018 1:00,24.267,27.431,,0
66,7/1/2018 2:00,24.171,27.358,,0
67,7/1/2018 3:00,24.146,27.604,,0
68,7/1/2018 4:00,24.05,27.702,,0
69,7/1/2018 5:00,24.026,27.579,,0
70,7/1/2018 6:00,24.002,27.456,,0
71,7/1/2018 7:00,23.978,27.358,,0
72,7/1/2018 8:00,23.978,27.431,,0
73,7/1/2018 9:00,24.026,27.431,,0
74,7/1/2018 10:00,24.195,27.554,,0
75,7/1/2018 11:00,24.219,27.604,,0
76,7/1/2018 12:00,24.171,27.628,,0
77,7/1/2018 13:00,24.291,27.702,,0
78,7/1/2018 14:00,24.363,27.628,,0
79,7/1/2018 15:00,24.605,27.727,,0
80,7/1/2018 16:00,24.702,27.801,,0
81,7/1/2018 17:00,24.726,27.85,,0
82,7/1/2018 18:00,24.702,28.196,,0
83,7/1/2018 19:00,24.629,28.072,,0
84,7/1/2018 20:00,24.581,27.776,,0
85,7/1/2018 21:00,24.46,27.456,,0
86,7/1/2018 22:00,24.412,27.21,,0
87,7/1/2018 23:00,24.315,27.038,,0
88,7/2/2018 0:00,24.195,26.867,,0
89,7/2/2018 1:00,24.146,26.671,,0
90,7/2/2018 2:00,24.05,26.524,,0
91,7/2/2018 3:00,24.026,26.378,,0
92,7/2/2018 4:00,23.954,26.231,,0
93,7/2/2018 5:00,23.905,26.061,,0
94,7/2/2018 6:00,23.881,25.963,,0
95,7/2/2018 7:00,23.881,25.914,,0
96,7/2/2018 8:00,23.93,25.914,,0
97,7/2/2018 9:00,24.05,26.061,,0
98,7/2/2018 10:00,24.291,26.182,,0
99,7/2/2018 11:00,24.508,26.256,,0
100,7/2/2018 12:00,24.847,26.402,,0
101,7/2/2018 13:00,25.162,26.524,,0
102,7/2/2018 14:00,25.355,26.671,,0
103,7/2/2018 15:00,25.598,26.842,,0
104,7/2/2018 16:00,25.695,26.965,,0
105,7/2/2018 17:00,25.72,27.087,,0
106,7/2/2018 18:00,25.647,27.186,,0
107,7/2/2018 19:00,25.525,27.161,,0
108,7/2/2018 20:00,25.404,27.235,,0
109,7/2/2018 21:00,25.258,27.259,,0
110,7/2/2018 22:00,25.162,27.259,,0
111,7/2/2018 23:00,25.065,27.259,,0
112,7/3/2018 0:00,24.968,27.259,,0
113,7/3/2018 1:00,24.847,27.308,,0
114,7/3/2018 2:00,24.798,27.358,,0
115,7/3/2018 3:00,24.726,27.259,,0
116,7/3/2018 4:00,24.677,27.112,,0
117,7/3/2018 5:00,24.605,26.965,,0
118,7/3/2018 6:00,24.557,26.842,,0
119,7/3/2018 7:00,24.532,26.818,,0
120,7/3/2018 8:00,24.557,26.891,,0
121,7/3/2018 9:00,24.605,26.965,,0
122,7/3/2018 10:00,24.75,27.038,,0
123,7/3/2018 11:00,24.968,27.112,,0
124,7/3/2018 12:00,25.258,27.21,,0
125,7/3/2018 13:00,25.477,27.333,,0
126,7/3/2018 14:00,25.695,27.481,,0
127,7/3/2018 15:00,25.841,27.628,,0
128,7/3/2018 16:00,25.89,27.727,,0
129,7/3/2018 17:00,25.866,27.85,,0
130,7/3/2018 18:00,25.793,27.949,,0
131,7/3/2018 19:00,25.72,27.974,,0
132,7/3/2018 20:00,25.598,27.974,,0
133,7/3/2018 21:00,25.477,28.023,,0
134,7/3/2018 22:00,25.355,28.048,,0
135,7/3/2018 23:00,25.234,28.147,,0
136,7/4/2018 0:00,25.137,28.147,,0
137,7/4/2018 1:00,25.065,28.023,,0
138,7/4/2018 2:00,24.992,27.875,,0
139,7/4/2018 3:00,24.919,27.727,,0
140,7/4/2018 4:00,24.847,27.653,,0
141,7/4/2018 5:00,24.798,27.554,,0
142,7/4/2018 6:00,24.774,27.481,,0
143,7/4/2018 7:00,24.75,27.456,,0
144,7/4/2018 8:00,24.75,27.505,,0
145,7/4/2018 9:00,24.847,27.604,,0
146,7/4/2018 10:00,24.919,27.702,,0
147,7/4/2018 11:00,24.919,27.677,,0
148,7/4/2018 12:00,25.04,27.727,,0
149,7/4/2018 13:00,25.331,27.875,,0
150,7/4/2018 14:00,25.453,27.974,,0
151,7/4/2018 15:00,25.574,28.072,,0
152,7/4/2018 16:00,25.744,28.221,,0
153,7/4/2018 17:00,25.744,28.32,,0
154,7/4/2018 18:00,25.671,28.295,,0
155,7/4/2018 19:00,25.55,28.32,,0
156,7/4/2018 20:00,25.453,28.345,,0
157,7/4/2018 21:00,25.307,28.345,,0
158,7/4/2018 22:00,25.186,28.345,,0
159,7/4/2018 23:00,25.089,28.345,,0
160,7/5/2018 0:00,24.992,28.345,,0
161,7/5/2018 1:00,24.944,28.419,,0
162,7/5/2018 2:00,24.847,28.27,,0
163,7/5/2018 3:00,24.798,28.122,,0
164,7/5/2018 4:00,24.726,27.974,,0
165,7/5/2018 5:00,24.653,27.875,,0
166,7/5/2018 6:00,24.653,27.776,,0
