Sample/Labslip ID,Sample Status,Primary Lab,Sample Collected (Start) Date,Primary Lab Id,Id #,Site Description,Id Point #,Field #,Waterbody ID #,Start Date/Time,End Date/Time,Date Received by Lab,Date Reported by Lab,Account #,Account Description,Program Code,Region,County,County Name,District,Sample Description,Sample Location,Report to Name,Report to Address,"Report to City, State, Zip",Sample Collector,Sample Source,Sample Reason,Project Code,Enforcement Code,Sample Depth,Type of Sample (QC),Check Date,File Batch Seq #,Sample Comment,Processed Batch Seq #,Creation Date,Creation User Id,Last Update Date,Last Update User Id,DNR Parameter Code,DNR Parameter Description,Analyte Code,Result Type,Result value,Result Amt,Units,LOD,LOQ,Lower Reporting Limit,Upper Reporting Limit,Decimal Places,Sig Figs,Lab Comment,NR140 Enforcement Standard,NR140 Preventive Action Limit,Analysis,Result Comment,Analysis ID,Creation Date,Creation User Id,Last Update Date,Last Update User Id
424393003,COMPLETE,Wisconsin State Laboratory of Hygiene,12/13/2018,113133790,10051674,,169205575,PSNT06 121318,,12/13/2018 12:18,12/13/2018 12:18,12/14/2018 11:33,1/22/2019 13:01,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,28F,1,,1091774,,335091,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1,410,ALKALINITY TOTAL CACO3,CPA-TR~ALK,1,230,230,MG/L,20,20,,,0,3,, , ,COMMENTS,,10754066,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1
424393003,COMPLETE,Wisconsin State Laboratory of Hygiene,12/13/2018,113133790,10051674,,169205575,PSNT06 121318,,12/13/2018 12:18,12/13/2018 12:18,12/14/2018 11:33,1/22/2019 13:01,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,28F,1,,1091774,,335091,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1,945,SULFATE TOTAL,LACH-SO4~18785-72-3,3,8.31,8.31,MG/L,4.7,15,,,2,3,,250 MG/L,125 MG/L,COMMENTS,,10754070,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1
433206001,COMPLETE,Wisconsin State Laboratory of Hygiene,2/27/2019,113133790,10051673,,182660383,PSNT03 022719,,2/27/2019 14:29,2/27/2019 14:50,2/28/2019 12:18,4/16/2019 9:40,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,25F,1,,1194610,,343522,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1,980,IRON TOTAL RECOVERABLE,TRICP~7439-89-6,1,0.768,0.768,MG/L,0.1,0.3,,,3,3,,.3 MG/L,.15 MG/L,COMMENTS,,10842009,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1
433206001,COMPLETE,Wisconsin State Laboratory of Hygiene,2/27/2019,113133790,10051673,,182660383,PSNT03 022719,,2/27/2019 14:29,2/27/2019 14:50,2/28/2019 12:18,4/16/2019 9:40,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,25F,1,,1194610,,343522,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1,631,NITROGEN NO3+NO2 DISS (AS N),LACH-NOXD~14797-55-8NOX,3,0.0424,0.0424,MG/L,0.036,0.12,,,4,3,,10 MG/L,2 MG/L,COMMENTS,,10842013,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1
433206005,COMPLETE,Wisconsin State Laboratory of Hygiene,2/27/2019,113133790,10051674,,182660387,PSNT06 022719,,2/27/2019 15:36,2/27/2019 15:40,2/28/2019 12:18,4/16/2019 9:40,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",SU,,CSLS,,20F,1,,1194610,,343522,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1,95,"CONDUCTIVITY, UMHOS/CM @ 25C",CPA-TR~COND,1,556,556,uS/cm,10,10,,,0,3,, , ,COMMENTS,,10842039,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1
433206005,COMPLETE,Wisconsin State Laboratory of Hygiene,2/27/2019,113133790,10051674,,182660387,PSNT06 022719,,2/27/2019 15:36,2/27/2019 15:40,2/28/2019 12:18,4/16/2019 9:40,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",SU,,CSLS,,20F,1,,1194610,,343522,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1,918,CALCIUM TOTAL RECOVERABLE,TRICP~7440-70-2,1,28.1,28.1,MG/L,0.1,0.3,,,1,3,, , ,COMMENTS,,10842045,4/16/2019 10:44,LDES_DBL1,4/16/2019 10:44,LDES_DBL1
415224004,COMPLETE,Wisconsin State Laboratory of Hygiene,10/17/2018,113133790,10051673,,169205519,PSNT03 101718,,10/17/2018 11:23,10/17/2018 11:27,10/18/2018 12:41,12/5/2018 13:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY",MW,,CSLS,,22.6F,1,,1050070,"Analyzed past the 28 days holding time: Method EPA 350.1 analyzed on 11/15/18 1119,Analyzed past the 28 days holding time: Method EPA 353.2 analyzed on 11/15/18 1119",330150,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1,899,HARDNESS TOTAL RECOVERABLE CALCULATION,TRICP~000-01-5,1,121,121,MG/L,0.66,2,,,0,3,, , ,COMMENTS,,10707822,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1
415224004,COMPLETE,Wisconsin State Laboratory of Hygiene,10/17/2018,113133790,10051673,,169205519,PSNT03 101718,,10/17/2018 11:23,10/17/2018 11:27,10/18/2018 12:41,12/5/2018 13:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY",MW,,CSLS,,22.6F,1,,1050070,"Analyzed past the 28 days holding time: Method EPA 350.1 analyzed on 11/15/18 1119,Analyzed past the 28 days holding time: Method EPA 353.2 analyzed on 11/15/18 1119",330150,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1,945,SULFATE TOTAL,LACH-SO4~18785-72-3,2,ND,,MG/L,4.7,15,,,0,3,,250 MG/L,125 MG/L,COMMENTS,,10707825,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1
415224003,COMPLETE,Wisconsin State Laboratory of Hygiene,10/17/2018,113133790,10051674,,169205523,PSNT06 101718,,10/17/2018 12:02,10/17/2018 12:07,10/18/2018 12:41,12/5/2018 13:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY",MW,,CSLS,,25.1F,1,,1050070,"Analyzed past the 28 days holding time: Method EPA 350.1 analyzed on 11/15/18 1118,Analyzed past the 28 days holding time: Method EPA 353.2 analyzed on 11/15/18 1118",330150,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1,1123,"MANGANESE, TOTAL RECOVERABLE",TRICP~7439-96-5,1,55.4,55.4,ug/L,1,3,,,1,3,,300 UG/L,50 UG/L,COMMENTS,,10707820,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1
424393002,COMPLETE,Wisconsin State Laboratory of Hygiene,12/13/2018,113133790,10051673,,169205571,PSNT03 121318,,12/13/2018 13:40,12/13/2018 14:05,12/14/2018 11:33,1/22/2019 13:01,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,25.6F,1,,1091774,,335091,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1,955,"SILICA, DISSOLVED (MG/L AS SI02)",LACH-SILD~99439-28-8,1,7.74,7.74,MG/L,0.1,0.32,,,2,3,, , ,COMMENTS,,10754060,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1
