County,Waterbody Name,WBIC,Survey Year,Station Name,Swims Station Id,Site Seq No,Survey Seq No,Survey Begin Date,Survey End Date,Survey Status,Data Entry Name,Visit Fish Seq No,Visit Type,Gear,Sample Date,Substation Name,Target Species,Fish Data Seq No,Net Number,Species Code,Species,Number of Fish,Length or Lower Length IN,Length Upper IN,Length or Lower Length MM,Length Upper MM,Weight Pounds,Weight Grams,Fish Aggweight Amt,Fish Weight Units,Gender,Disease ,Injury Type,Age (observed annuli),Edge Counted Desc,Age Structure,Mark Given,Mark Found,Second Mark Found,Tag Number Given,Second Tag Number Given,Tag Number Found,Second Tag Number Found,YOY,Entry Date,Last Update Date,Data Ent Name,Last Update Name,Invalid Species,Non Standard Bin,Length Unit Error,Length Outside Range,Count Outside Range,Status Code
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207302,-,W12,LARGEMOUTH BASS,1,4,-,101.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207303,-,W12,LARGEMOUTH BASS,1,4.1,-,104.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207304,-,W12,LARGEMOUTH BASS,1,4.2,-,106.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207305,-,W12,LARGEMOUTH BASS,2,4.3,-,109.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207306,-,W12,LARGEMOUTH BASS,1,4.9,-,124.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207307,-,W12,LARGEMOUTH BASS,1,5,-,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207308,-,W12,LARGEMOUTH BASS,1,5.5,-,139.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207309,-,W12,LARGEMOUTH BASS,1,6,-,152.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207310,-,W12,LARGEMOUTH BASS,1,6.5,-,165.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207311,-,W12,LARGEMOUTH BASS,1,6.6,-,167.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207312,-,W12,LARGEMOUTH BASS,1,9.7,-,246.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207313,-,W12,LARGEMOUTH BASS,1,10,-,254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207314,-,W12,LARGEMOUTH BASS,3,10.2,-,259.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207315,-,W12,LARGEMOUTH BASS,2,10.4,-,264.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
