lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
4,-126.41806022562832,394.7280820895156,268.31002186388736,Long Lake,0,0,1.0,2012-01-01,2012-01-01
4,-82.27806590755233,443.99344025095263,361.71537434340036,Long Lake,4,1,32.0,2012-01-01,2012-02-01
4,-62.7840110833543,472.8119374940416,410.02792641068726,Long Lake,4,2,61.0,2012-02-01,2012-03-01
4,-148.54434437117874,306.6418091105489,158.0974647393701,Long Lake,4,3,92.0,2012-03-01,2012-04-01
4,-190.89026653207563,245.1916605209706,54.301393988895036,Long Lake,4,4,122.0,2012-04-01,2012-05-01
4,-337.2330119768486,117.70693339844999,-219.52607857839863,Long Lake,4,5,153.0,2012-05-01,2012-06-01
4,-191.68730345400348,261.4504022212691,69.7630987672656,Long Lake,4,6,183.0,2012-06-01,2012-07-01
4,-136.96404710553722,376.6068041179863,239.64275701244912,Long Lake,4,7,214.0,2012-07-01,2012-08-01
4,-66.20759501588395,521.8367989565505,455.62920394066657,Long Lake,4,8,245.0,2012-08-01,2012-09-01
4,-42.12617344874815,549.594643162843,507.46846971409485,Long Lake,4,9,275.0,2012-09-01,2012-10-01
4,-159.6329023458957,307.2893401536428,147.6564378077471,Long Lake,4,10,306.0,2012-10-01,2012-11-01
4,-121.43102038062784,319.42717850473565,197.9961581241077,Long Lake,4,11,336.0,2012-11-01,2012-12-01
4,-41.512780779974385,466.6070858622813,425.0943050823069,Long Lake,4,12,367.0,2012-12-01,2013-01-01
4,-35.143048055917234,451.448788077589,416.30574002167185,Long Lake,4,13,398.0,2013-01-01,2013-02-01
4,-19.018062483840865,495.6668213122664,476.6487588284255,Long Lake,4,14,426.0,2013-02-01,2013-03-01
4,-32.158037912421264,412.9502876495249,380.79224973710365,Long Lake,4,15,457.0,2013-03-01,2013-04-01
4,-696.2084019655721,7.821497546612136,-688.38690441896,Long Lake,4,16,487.0,2013-04-01,2013-05-01
4,-256.46475649378465,121.48943446906082,-134.97532202472382,Long Lake,4,17,518.0,2013-05-01,2013-06-01
4,-222.48830996214696,165.76370564029912,-56.724604321847856,Long Lake,4,18,548.0,2013-06-01,2013-07-01
4,-115.8214975151742,338.4052913174338,222.5837938022596,Long Lake,4,19,579.0,2013-07-01,2013-08-01
