lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
1,-7.224184433564119,245.26220814688688,238.03802371332284,Plainfield Lake,0,0,1.0,2012-01-01,2012-01-01
1,-2.191414973040537,315.22155374842214,313.03013877538154,Plainfield Lake,4,1,32.0,2012-01-01,2012-02-01
1,-0.7017514318667963,351.8008971660885,351.09914573422174,Plainfield Lake,4,2,61.0,2012-02-01,2012-03-01
1,-15.290413341882413,179.41268852055856,164.12227517867612,Plainfield Lake,4,3,92.0,2012-03-01,2012-04-01
1,-35.95831355176652,122.16823128677694,86.20991773501041,Plainfield Lake,4,4,122.0,2012-04-01,2012-05-01
1,-171.21766229293146,11.82325744171078,-159.39440485122068,Plainfield Lake,4,5,153.0,2012-05-01,2012-06-01
1,-72.75168527385223,56.94596420722986,-15.805721066622374,Plainfield Lake,4,6,183.0,2012-06-01,2012-07-01
1,-31.773446728518056,119.69085577567068,87.91740904715263,Plainfield Lake,4,7,214.0,2012-07-01,2012-08-01
1,-1.90774073296916,318.96404189282464,317.05630115985537,Plainfield Lake,4,8,245.0,2012-08-01,2012-09-01
1,0.0,468.2635049656817,468.2635049656817,Plainfield Lake,4,9,275.0,2012-09-01,2012-10-01
1,-6.895848584731652,279.90460509952027,273.0087565147886,Plainfield Lake,4,10,306.0,2012-10-01,2012-11-01
1,-4.642510914550144,283.40970290582493,278.7671919912748,Plainfield Lake,4,11,336.0,2012-11-01,2012-12-01
1,0.0,445.2469499417208,445.2469499417208,Plainfield Lake,4,12,367.0,2012-12-01,2013-01-01
1,0.0,435.6199677737622,435.6199677737622,Plainfield Lake,4,13,398.0,2013-01-01,2013-02-01
1,0.0,478.9774992961157,478.9774992961157,Plainfield Lake,4,14,426.0,2013-02-01,2013-03-01
1,0.0,392.3788428379596,392.3788428379596,Plainfield Lake,4,15,457.0,2013-03-01,2013-04-01
1,-584.2063243535217,,,Plainfield Lake,4,16,487.0,2013-04-01,2013-05-01
1,-125.90433636498786,18.301942509599076,-107.60239385538877,Plainfield Lake,4,17,518.0,2013-05-01,2013-06-01
1,-107.28411228569617,24.751310060771345,-82.53280222492481,Plainfield Lake,4,18,548.0,2013-06-01,2013-07-01
1,-38.484034638095004,88.39725105352056,49.91321641542555,Plainfield Lake,4,19,579.0,2013-07-01,2013-08-01
1,-9.882816155091092,177.01805191636456,167.13523576127346,Plainfield Lake,4,20,610.0,2013-08-01,2013-09-01
1,-0.4908824430904133,329.4745593933892,328.9836769502988,Plainfield Lake,4,21,640.0,2013-09-01,2013-10-01
1,0.0,433.3171049506068,433.3171049506068,Plainfield Lake,4,22,671.0,2013-10-01,2013-11-01
1,-2.86243168144074,274.7067679828056,271.8443363013648,Plainfield Lake,4,23,701.0,2013-11-01,2013-12-01
1,0.0,379.83387030925553,379.83387030925553,Plainfield Lake,4,24,732.0,2013-12-01,2014-01-01
1,0.0,408.34274121135536,408.34274121135536,Plainfield Lake,4,25,763.0,2014-01-01,2014-02-01
1,0.0,419.4717968099247,419.4717968099247,Plainfield Lake,4,26,791.0,2014-02-01,2014-03-01
1,-26.504765318326463,83.4550070209583,56.95024170263184,Plainfield Lake,4,27,822.0,2014-03-01,2014-04-01
1,-352.903370336772,,,Plainfield Lake,4,28,852.0,2014-04-01,2014-05-01
1,-96.59252718375294,18.1882051470879,-78.40432203666505,Plainfield Lake,4,29,883.0,2014-05-01,2014-06-01
1,-37.22953361175777,71.70133327752829,34.471799665770504,Plainfield Lake,4,30,913.0,2014-06-01,2014-07-01
1,-16.214607955180284,114.23832146828148,98.0237135131012,Plainfield Lake,4,31,944.0,2014-07-01,2014-08-01
1,-72.72550550316845,47.12116371619019,-25.604341786978264,Plainfield Lake,4,32,975.0,2014-08-01,2014-09-01
1,-14.581477474660744,142.15344438578344,127.5719669111227,Plainfield Lake,4,33,1005.0,2014-09-01,2014-10-01
1,-4.856024401167731,201.75026981865082,196.8942454174831,Plainfield Lake,4,34,1036.0,2014-10-01,2014-11-01
1,-4.136926137292505,212.23358651897445,208.09666038168203,Plainfield Lake,4,35,1066.0,2014-11-01,2014-12-01
1,-26.558169856974462,96.70602087106451,70.14785101409004,Plainfield Lake,4,36,1097.0,2014-12-01,2015-01-01
1,-6.594677616765587,168.70614032754526,162.11146271077962,Plainfield Lake,4,37,1128.0,2015-01-01,2015-02-01
1,-2.317869066707772,227.35511061063733,225.03724154392955,Plainfield Lake,4,38,1156.0,2015-02-01,2015-03-01
1,-1.349477616506192,239.240898396324,237.89142077981785,Plainfield Lake,4,39,1187.0,2015-03-01,2015-04-01
1,-27.23964080452751,79.24387659878394,52.00423579425642,Plainfield Lake,4,40,1217.0,2015-04-01,2015-05-01
1,-97.65426593325807,17.42035382360784,-80.23391210965023,Plainfield Lake,4,41,1248.0,2015-05-01,2015-06-01
1,-17.510713894640933,114.48860336949652,96.9778894748556,Plainfield Lake,4,42,1278.0,2015-06-01,2015-07-01
1,-5.536732424629953,178.69072702133408,173.15399459670414,Plainfield Lake,4,43,1309.0,2015-07-01,2015-08-01
1,-0.14261282792176644,281.95690680572085,281.8142939777992,Plainfield Lake,4,44,1340.0,2015-08-01,2015-09-01
1,0.0,296.88217811636963,296.88217811636963,Plainfield Lake,4,45,1370.0,2015-09-01,2015-10-01
1,0.0,290.75201689548794,290.75201689548794,Plainfield Lake,4,46,1401.0,2015-10-01,2015-11-01
1,-6.63776223634369,144.9871107445991,138.34934850825542,Plainfield Lake,4,47,1431.0,2015-11-01,2015-12-01
1,-174.4884634577469,2.321908889030169,-172.1665545687167,Plainfield Lake,4,48,1462.0,2015-12-01,2016-01-01
1,-51.29242496923634,42.29427269441413,-8.998152274822203,Plainfield Lake,4,49,1493.0,2016-01-01,2016-02-01
1,-130.52330978590015,4.73241849738913,-125.790891288511,Plainfield Lake,4,50,1522.0,2016-02-01,2016-03-01
1,-388.9811194682226,,,Plainfield Lake,4,51,1553.0,2016-03-01,2016-04-01
1,-196.99825011874904,1.1021801685858177,-195.8960699501632,Plainfield Lake,4,52,1583.0,2016-04-01,2016-05-01
1,-68.1233972708219,32.124980535708254,-35.998416735113636,Plainfield Lake,4,53,1614.0,2016-05-01,2016-06-01
1,-22.235624853851334,87.41107016141437,65.17544530756304,Plainfield Lake,4,54,1644.0,2016-06-01,2016-07-01
1,-5.643824549464966,149.7074686831464,144.06364413368144,Plainfield Lake,4,55,1675.0,2016-07-01,2016-08-01
1,-4.287884094817855,160.93159542787075,156.6437113330529,Plainfield Lake,4,56,1706.0,2016-08-01,2016-09-01
1,-337.6002599908508,,,Plainfield Lake,4,57,1736.0,2016-09-01,2016-10-01
1,-122.65287093468274,21.327613879740948,-101.32525705494179,Plainfield Lake,4,58,1767.0,2016-10-01,2016-11-01
1,-129.9671504456236,22.689611911342467,-107.27753853428112,Plainfield Lake,4,59,1797.0,2016-11-01,2016-12-01
1,-11.344585741720948,140.63942438487308,129.29483864315216,Plainfield Lake,4,60,1828.0,2016-12-01,2017-01-01
1,-36.12015660456086,85.72424680557472,49.60409020101386,Plainfield Lake,4,61,1859.0,2017-01-01,2017-02-01
1,-374.8036122282764,,,Plainfield Lake,4,62,1887.0,2017-02-01,2017-03-01
1,-267.0169851799024,2.607943646637575,-264.4090415332648,Plainfield Lake,4,63,1918.0,2017-03-01,2017-04-01
1,-305.51355877552174,1.7255638792349828,-303.7879948962868,Plainfield Lake,4,64,1948.0,2017-04-01,2017-05-01
1,-203.53300052260428,14.540567843712564,-188.99243267889176,Plainfield Lake,4,65,1979.0,2017-05-01,2017-06-01
1,-458.4822377727691,,,Plainfield Lake,4,66,2009.0,2017-06-01,2017-07-01
1,-205.9992855955911,15.708594518935184,-190.29069107665592,Plainfield Lake,4,67,2040.0,2017-07-01,2017-08-01
1,-44.39318297526961,105.48329660751092,61.09011363224133,Plainfield Lake,4,68,2071.0,2017-08-01,2017-09-01
1,-12.583757162124856,184.81228535603003,172.22852819390513,Plainfield Lake,4,69,2101.0,2017-09-01,2017-10-01
1,-28.38576939531673,142.69686503324212,114.31109563792542,Plainfield Lake,4,70,2132.0,2017-10-01,2017-11-01
