lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
1,-694.6403033859729,1516.196943206365,821.5566398203922,Pleasant Lake,0,0,1.0,2012-01-01,2012-01-01
1,-645.6420654518819,1561.9843494465704,916.3422839946884,Pleasant Lake,4,1,32.0,2012-01-01,2012-02-01
1,-628.7429073557469,1571.2484489896915,942.5055416339447,Pleasant Lake,4,2,61.0,2012-02-01,2012-03-01
1,-739.1517393424734,1433.7647723325067,694.6130329900333,Pleasant Lake,4,3,92.0,2012-03-01,2012-04-01
1,-802.1380008490021,1351.102200070821,548.964199221819,Pleasant Lake,4,4,122.0,2012-04-01,2012-05-01
1,-1075.3034727722252,1091.5854424492245,16.281969676999097,Pleasant Lake,4,5,153.0,2012-05-01,2012-06-01
1,-963.1077874990457,1161.0718420191195,197.9640545200737,Pleasant Lake,4,6,183.0,2012-06-01,2012-07-01
1,-969.7323128891637,1126.3872380854739,156.65492519631042,Pleasant Lake,4,7,214.0,2012-07-01,2012-08-01
1,-858.7870014138401,1232.5833090136716,373.7963075998314,Pleasant Lake,4,8,245.0,2012-08-01,2012-09-01
1,-802.8058890508838,1268.0415697413812,465.23568069049753,Pleasant Lake,4,9,275.0,2012-09-01,2012-10-01
1,-829.7501793525255,1258.2856166541667,428.53543730164114,Pleasant Lake,4,10,306.0,2012-10-01,2012-11-01
1,-829.703633432995,1250.5098338213581,420.8062003883631,Pleasant Lake,4,11,336.0,2012-11-01,2012-12-01
1,-763.1234530583278,1322.8881708926842,559.7647178343566,Pleasant Lake,4,12,367.0,2012-12-01,2013-01-01
1,-733.4784772598211,1359.8638208991656,626.3853436393445,Pleasant Lake,4,13,398.0,2013-01-01,2013-02-01
1,-660.9607225157779,1423.5930696347127,762.6323471189348,Pleasant Lake,4,14,426.0,2013-02-01,2013-03-01
1,-680.9002251675987,1390.9386915717007,710.038466404102,Pleasant Lake,4,15,457.0,2013-03-01,2013-04-01
1,-1280.9402852802255,912.395287034544,-368.5449982456817,Pleasant Lake,4,16,487.0,2013-04-01,2013-05-01
1,-1018.0200995267886,1106.8909327484018,88.87083322161345,Pleasant Lake,4,17,518.0,2013-05-01,2013-06-01
1,-1017.2986731585013,1154.6303381764608,137.33166501795972,Pleasant Lake,4,18,548.0,2013-06-01,2013-07-01
1,-919.7974812690437,1225.7492934423806,305.95181217333646,Pleasant Lake,4,19,579.0,2013-07-01,2013-08-01
1,-877.5433203209817,1250.1442865095505,372.60096618856863,Pleasant Lake,4,20,610.0,2013-08-01,2013-09-01
1,-794.9647111438222,1328.131426944586,533.1667158007638,Pleasant Lake,4,21,640.0,2013-09-01,2013-10-01
1,-710.9620995563025,1413.8751948976333,702.9130953413307,Pleasant Lake,4,22,671.0,2013-10-01,2013-11-01
1,-782.3693502312454,1343.5118863948323,561.1425361635871,Pleasant Lake,4,23,701.0,2013-11-01,2013-12-01
1,-689.1399136929338,1422.9361356074712,733.7962219145375,Pleasant Lake,4,24,732.0,2013-12-01,2014-01-01
1,-643.3823463667459,1445.7704835410987,802.3881371743528,Pleasant Lake,4,25,763.0,2014-01-01,2014-02-01
1,-604.5255460116023,1471.3965967123645,866.8710507007622,Pleasant Lake,4,26,791.0,2014-02-01,2014-03-01
1,-824.9183585475495,1238.5401100102374,413.6217514626883,Pleasant Lake,4,27,822.0,2014-03-01,2014-04-01
1,-1160.581882543904,981.4318911524374,-179.14999139146653,Pleasant Lake,4,28,852.0,2014-04-01,2014-05-01
1,-961.2415256702864,1123.871024483391,162.62949881310462,Pleasant Lake,4,29,883.0,2014-05-01,2014-06-01
1,-810.2695089805275,1284.712123995508,474.44261501498045,Pleasant Lake,4,30,913.0,2014-06-01,2014-07-01
1,-778.1338636412297,1311.1617801240614,533.0279164828316,Pleasant Lake,4,31,944.0,2014-07-01,2014-08-01
1,-717.0177238121544,1370.550271976761,653.5325481646066,Pleasant Lake,4,32,975.0,2014-08-01,2014-09-01
1,-674.0411409663736,1412.8885616844893,738.8474207181158,Pleasant Lake,4,33,1005.0,2014-09-01,2014-10-01
1,-616.876909234217,1463.9895100357205,847.1126008015033,Pleasant Lake,4,34,1036.0,2014-10-01,2014-11-01
1,-608.6482218490385,1469.1023623712258,860.4541405221872,Pleasant Lake,4,35,1066.0,2014-11-01,2014-12-01
1,-700.6568023179782,1353.723262687056,653.066460369078,Pleasant Lake,4,36,1097.0,2014-12-01,2015-01-01
1,-657.0351643217572,1364.8039086689105,707.7687443471533,Pleasant Lake,4,37,1128.0,2015-01-01,2015-02-01
1,-609.1010619891429,1392.491850478401,783.3907884892582,Pleasant Lake,4,38,1156.0,2015-02-01,2015-03-01
1,-588.9914022863395,1372.105187157215,783.1137848708753,Pleasant Lake,4,39,1187.0,2015-03-01,2015-04-01
1,-755.4505103517047,1209.2523620824975,453.80185173079286,Pleasant Lake,4,40,1217.0,2015-04-01,2015-05-01
1,-732.3612049925066,1211.000542174194,478.6393371816874,Pleasant Lake,4,41,1248.0,2015-05-01,2015-06-01
1,-664.5724258478543,1276.7104275908935,612.1380017430392,Pleasant Lake,4,42,1278.0,2015-06-01,2015-07-01
1,-647.3899324125117,1251.9892041866271,604.5992717741152,Pleasant Lake,4,43,1309.0,2015-07-01,2015-08-01
1,-590.1359717873645,1283.2108886909214,693.0749169035566,Pleasant Lake,4,44,1340.0,2015-08-01,2015-09-01
1,-528.6887172913733,1327.5205665673661,798.8318492759927,Pleasant Lake,4,45,1370.0,2015-09-01,2015-10-01
1,-503.12295166941607,1332.2659015165698,829.1429498471538,Pleasant Lake,4,46,1401.0,2015-10-01,2015-11-01
1,-578.7196860342541,1255.0597606091942,676.3400745749401,Pleasant Lake,4,47,1431.0,2015-11-01,2015-12-01
1,-828.9486903694127,1071.2915662795463,242.34287591013359,Pleasant Lake,4,48,1462.0,2015-12-01,2016-01-01
1,-703.3276273107779,1151.9858128587534,448.6581855479756,Pleasant Lake,4,49,1493.0,2016-01-01,2016-02-01
1,-786.5892830380404,1086.4642253167435,299.87494227870303,Pleasant Lake,4,50,1522.0,2016-02-01,2016-03-01
1,-990.5098360904767,956.3767839842316,-34.13305210624503,Pleasant Lake,4,51,1553.0,2016-03-01,2016-04-01
1,-838.3892168313841,1067.8587819440754,229.46956511269104,Pleasant Lake,4,52,1583.0,2016-04-01,2016-05-01
1,-732.0351441822372,1162.3761860090385,430.3410418268009,Pleasant Lake,4,53,1614.0,2016-05-01,2016-06-01
1,-643.7748316213251,1252.9287051525391,609.1538735312138,Pleasant Lake,4,54,1644.0,2016-06-01,2016-07-01
1,-569.6308938794042,1346.994698512413,777.3638046330087,Pleasant Lake,4,55,1675.0,2016-07-01,2016-08-01
1,-522.1966124264387,1391.8596948856061,869.6630824591672,Pleasant Lake,4,56,1706.0,2016-08-01,2016-09-01
1,-901.9036112657317,1080.509918120605,178.60630685487354,Pleasant Lake,4,57,1736.0,2016-09-01,2016-10-01
1,-740.1898610856961,1195.7603421589736,455.5704810732775,Pleasant Lake,4,58,1767.0,2016-10-01,2016-11-01
1,-794.570956958677,1167.1795585373045,372.6086015786275,Pleasant Lake,4,59,1797.0,2016-11-01,2016-12-01
1,-664.8946778016392,1324.3854142897112,659.490736488072,Pleasant Lake,4,60,1828.0,2016-12-01,2017-01-01
1,-750.6163954131205,1261.7423262824675,511.12593086934714,Pleasant Lake,4,61,1859.0,2017-01-01,2017-02-01
