lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
1,-818.1736215525636,1690.5512933497046,872.3776717971409,Pleasant,0,0,1.0,1981-01-01,1981-01-01
1,-901.8623282552801,1576.157098130083,674.294769874803,Pleasant,7,1,32.0,1981-01-01,1981-02-01
1,-1062.7832300340294,1407.0458814031024,344.26265136907296,Pleasant,7,2,60.0,1981-02-01,1981-03-01
1,-943.5955693203059,1526.8243294639644,583.2287601436585,Pleasant,7,3,91.0,1981-03-01,1981-04-01
1,-1076.328978061437,1392.199465567905,315.87048750646795,Pleasant,7,4,121.0,1981-04-01,1981-05-01
1,-936.1622900617923,1518.427478643845,582.2651885820527,Pleasant,7,5,152.0,1981-05-01,1981-06-01
1,-825.2855486598162,1649.5237532183314,824.2382045585152,Pleasant,7,6,182.0,1981-06-01,1981-07-01
1,-746.829738232587,1756.0713446166726,1009.2416063840856,Pleasant,7,7,213.0,1981-07-01,1981-08-01
1,-706.7927669333908,1797.523247801513,1090.7304808681222,Pleasant,7,8,244.0,1981-08-01,1981-09-01
1,-727.308963147035,1739.7070507399853,1012.3980875929503,Pleasant,7,9,274.0,1981-09-01,1981-10-01
1,-846.1069054155962,1593.739429027578,747.6325236119817,Pleasant,7,10,305.0,1981-10-01,1981-11-01
1,-811.8973921129862,1601.503491837003,789.6060997240168,Pleasant,7,11,335.0,1981-11-01,1981-12-01
1,-785.8463237608617,1615.9559556695383,830.1096319086766,Pleasant,7,12,366.0,1981-12-01,1982-01-01
1,-739.0488207061524,1656.1439909170288,917.0951702108764,Pleasant,7,13,397.0,1982-01-01,1982-02-01
1,-798.4358093070131,1559.5731582319115,761.1373489248984,Pleasant,7,14,425.0,1982-02-01,1982-03-01
1,-882.8218161395146,1455.4140376851528,572.5922215456383,Pleasant,7,15,456.0,1982-03-01,1982-04-01
1,-913.2644000607725,1417.1126278344552,503.84822777368277,Pleasant,7,16,486.0,1982-04-01,1982-05-01
1,-852.8692441222158,1458.4103585729429,605.541114450727,Pleasant,7,17,517.0,1982-05-01,1982-06-01
1,-779.5973329115529,1543.8147960960523,764.2174631844994,Pleasant,7,18,547.0,1982-06-01,1982-07-01
1,-714.3103763341869,1619.1370791121265,904.8267027779395,Pleasant,7,19,578.0,1982-07-01,1982-08-01
1,-716.7808667268104,1622.7136808112668,905.9328140844565,Pleasant,7,20,609.0,1982-08-01,1982-09-01
1,-731.1714080775389,1551.921062933956,820.749654856417,Pleasant,7,21,639.0,1982-09-01,1982-10-01
1,-701.3326993725261,1544.5150866713461,843.18238729882,Pleasant,7,22,670.0,1982-10-01,1982-11-01
1,-874.1395489416589,1373.0442671395244,498.9047181978656,Pleasant,7,23,700.0,1982-11-01,1982-12-01
1,-1008.0308737480929,1229.4366754510952,221.40580170300234,Pleasant,7,24,731.0,1982-12-01,1983-01-01
1,-877.3928620925872,1350.4445304111703,473.0516683185831,Pleasant,7,25,762.0,1983-01-01,1983-02-01
1,-978.7343252754889,1258.3791982176124,279.64487294212347,Pleasant,7,26,790.0,1983-02-01,1983-03-01
