siteID,labno,dateon,dateoff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
WI31,TM3604SW,"2014-01-07 18:40","2014-01-14 18:18",201401,5.440,8.200, ,0.195, ,0.020, ,0.011, ,0.030, ,0.565, ,1.480, ,0.056, ,0.904,0,-9,706.300,10.922,10.922,w ,            ,6/8/2015 11:23:00 AM
WI31,TM3992SW,"2014-01-14 18:23","2014-01-22 03:40",201401,6.110,9.500, ,0.253, ,0.052, ,0.019, ,0.388, ,0.627, ,1.215, ,0.660, ,0.647,0,-9,245.400,3.810,3.810,w ,            ,9/28/2015 12:00:00 AM
WI31,TM4134SW,"2014-01-22 03:46","2014-01-28 18:30",201401,6.670,11.000, ,0.738, ,0.101, ,0.025, ,0.318, ,0.574, ,0.984, ,0.486, ,0.616,0,-9,304.200,4.826,4.826,w ,            ,6/8/2015 11:23:00 AM
WI31,TM4535SW,"2014-01-28 18:36","2014-02-04 22:55",201402,6.670,13.100, ,1.381, ,0.150, ,0.029, ,0.219, ,0.524, ,1.357, ,0.349, ,0.633,0,-9,299.400,5.080,5.080,w ,            ,9/28/2015 12:00:00 AM
WI31,TM4615SW,"2014-02-04 23:01","2014-02-11 18:10",201402,4.810,13.500, ,0.222, ,0.040, ,0.018, ,0.333, ,0.336, ,2.235, ,0.580, ,0.360,0,-9,180.900,3.556,3.556,w ,            ,6/8/2015 8:58:00 AM
WI31,TM5221SW,"2014-02-11 18:14","2014-02-18 18:50",201402,5.060,9.500, ,0.205, ,0.030, ,0.012, ,0.118, ,0.364, ,1.635, ,0.184, ,0.660,0,-9,913.900,18.034,18.034,w ,            ,6/8/2015 11:23:00 AM
WI31,TM5297SW,"2014-02-18 18:55","2014-02-25 05:15",201402,6.020,10.600, ,0.535, ,0.049, ,0.038, ,0.130, ,0.709, ,1.549, ,0.137, ,1.581,0,-9,785.300,12.192,12.192,w ,            ,6/8/2015 11:23:00 AM
WI31,TM5558SW,"2014-02-25 05:19","2014-03-04 15:35",201402,6.450,8.500, ,0.589, ,0.131, ,0.014, ,0.233, ,0.329, ,1.120, ,0.388, ,0.356,0,-9,448.600,7.366,7.366,w ,            ,6/8/2015 11:23:00 AM
WI31,TM5591SW,"2014-03-04 15:40","2014-03-11 16:12",201403,4.740,19.000, ,0.389, ,0.055, ,0.016, ,0.222, ,0.631, ,3.239, ,0.398, ,0.952,0,-9,154.100,4.064,4.064,w ,            ,6/8/2015 8:58:00 AM
WI31,TM6002SW,"2014-03-11 16:17","2014-03-19 01:37",201403,6.470,24.300, ,0.992, ,0.135, ,0.063, ,0.227, ,2.051, ,3.134, ,0.390, ,3.283,0,-9,118.200,1.524,1.524,w ,            ,6/8/2015 8:58:00 AM
WI31,TM6398SW,"2014-03-19 01:42","2014-03-25 19:40",201403,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,421.400,7.620,7.620,  ,c           ,6/8/2015 11:23:00 AM
WI31,TM6472SW,"2014-03-25 19:48","2014-04-01 20:10",201403,6.610,13.100, ,0.283, ,0.033, ,0.028, ,0.077, ,1.408, ,1.411, ,0.107, ,1.369,0,-9,1498.200,22.606,22.606,w ,            ,6/8/2015 11:23:00 AM
WI31,TM6679SW,"2014-04-01 20:16","2014-04-08 17:23",201404,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,371.700,6.350,6.350,  ,c           ,6/8/2015 11:23:00 AM
WI31,TM7028SW,"2014-04-08 17:28","2014-04-15 17:25",201404,6.600,7.000, ,0.358, ,0.044, ,0.021, ,0.050, ,0.598, ,0.655, ,0.057, ,0.450,0,-9,8040.600,119.634,119.634,w ,            ,6/8/2015 11:23:00 AM
WI31,TM7255SW,"2014-04-15 17:30","2014-04-22 20:08",201404,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,377.400,5.334,5.334,  ,c           ,6/8/2015 11:23:00 AM
WI31,TM7478SW,"2014-04-22 20:15","2014-04-29 15:42",201404,6.490,11.100, ,0.439, ,0.044, ,0.043, ,0.040, ,0.995, ,1.288, ,0.074, ,1.391,0,-9,5135.800,77.470,77.470,w ,            ,6/8/2015 11:23:00 AM
WI31,TM7696SW,"2014-04-29 15:46","2014-05-06 17:28",201405,6.500,12.000, ,0.296, ,0.036, ,0.055, ,0.012, ,1.236, ,1.842, ,0.045, ,1.200,0,-9,600.700,8.128,8.128,w ,            ,6/8/2015 8:58:00 AM
WI31,TM8074SW,"2014-05-06 17:34","2014-05-14 01:15",201405,6.530,10.000, ,0.542, ,0.054, ,0.050, ,0.134, ,0.754, ,1.071, ,0.175, ,0.886,0,-9,2300.600,34.290,34.290,w ,            ,6/8/2015 8:58:00 AM
WI31,TM8287SW,"2014-05-14 01:20","2014-05-20 17:55",201405,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,180.500,2.286,2.286,  ,c           ,6/8/2015 11:23:00 AM
