#,"Date Time, GMT-05:00",0.5 m dfb,1 m dfb,FLAG
1,06/28/2018 9:00,24.726,24.847,1
2,06/28/2018 10:00,30.268,38.115,1
3,06/28/2018 11:00,23.809,24.436,1
4,06/28/2018 12:00,23.930,24.605,1
5,06/28/2018 13:00,24.098,24.750,0
6,06/28/2018 14:00,24.339,25.210,0
7,06/28/2018 15:00,24.363,25.380,0
8,06/28/2018 16:00,24.436,25.477,0
9,06/28/2018 17:00,24.412,25.574,0
10,06/28/2018 18:00,24.532,25.817,0
11,06/28/2018 19:00,24.557,25.866,0
12,06/28/2018 20:00,24.532,25.671,0
13,06/28/2018 21:00,24.484,25.793,0
14,06/28/2018 22:00,24.460,25.671,0
15,06/28/2018 23:00,24.460,25.525,0
16,06/29/2018 0:00,24.460,25.598,0
17,06/29/2018 1:00,24.412,25.623,0
18,06/29/2018 2:00,24.412,25.671,0
19,06/29/2018 3:00,24.412,25.866,0
20,06/29/2018 4:00,24.412,25.987,0
21,06/29/2018 5:00,24.412,25.963,0
22,06/29/2018 6:00,24.412,25.720,0
23,06/29/2018 7:00,24.436,25.598,0
24,06/29/2018 8:00,24.412,25.574,0
25,06/29/2018 9:00,24.557,25.671,0
26,06/29/2018 10:00,24.919,25.841,0
27,06/29/2018 11:00,24.871,25.963,0
28,06/29/2018 12:00,25.234,26.182,0
29,06/29/2018 13:00,24.992,26.524,0
30,06/29/2018 14:00,25.065,26.965,0
31,06/29/2018 15:00,25.186,27.112,0
32,06/29/2018 16:00,25.331,27.407,0
33,06/29/2018 17:00,25.355,27.333,0
34,06/29/2018 18:00,25.331,27.259,0
35,06/29/2018 19:00,25.380,27.284,0
36,06/29/2018 20:00,25.380,27.308,0
37,06/29/2018 21:00,25.380,27.505,0
38,06/29/2018 22:00,25.380,27.456,0
39,06/29/2018 23:00,25.453,27.431,0
40,06/30/2018 0:00,25.380,27.505,0
41,06/30/2018 1:00,25.355,27.628,0
42,06/30/2018 2:00,25.380,27.850,0
43,06/30/2018 3:00,25.380,27.727,0
44,06/30/2018 4:00,25.428,27.702,0
45,06/30/2018 5:00,25.355,27.727,0
46,06/30/2018 6:00,25.380,27.702,0
47,06/30/2018 7:00,25.404,27.579,0
48,06/30/2018 8:00,25.477,27.407,0
49,06/30/2018 9:00,25.453,27.776,0
50,06/30/2018 10:00,25.477,27.751,0
51,06/30/2018 11:00,25.768,27.776,0
52,06/30/2018 12:00,25.914,27.825,0
53,06/30/2018 13:00,26.012,28.147,0
54,06/30/2018 14:00,26.329,28.543,0
55,06/30/2018 15:00,26.426,28.742,0
56,06/30/2018 16:00,26.573,29.090,0
57,06/30/2018 17:00,26.549,29.215,0
58,06/30/2018 18:00,26.475,29.315,0
59,06/30/2018 19:00,26.500,29.265,0
60,06/30/2018 20:00,26.207,30.318,0
61,06/30/2018 21:00,26.378,30.091,0
62,06/30/2018 22:00,26.646,29.790,0
63,06/30/2018 23:00,26.769,29.414,0
64,07/01/2018 0:00,26.573,29.165,0
65,07/01/2018 1:00,26.549,28.866,0
66,07/01/2018 2:00,26.549,28.667,0
67,07/01/2018 3:00,26.598,28.444,0
68,07/01/2018 4:00,26.671,28.270,0
69,07/01/2018 5:00,26.549,28.097,0
70,07/01/2018 6:00,26.549,27.924,0
71,07/01/2018 7:00,26.549,27.801,0
72,07/01/2018 8:00,26.524,27.751,0
73,07/01/2018 9:00,27.014,27.801,0
74,07/01/2018 10:00,27.530,27.899,0
75,07/01/2018 11:00,27.875,27.949,0
76,07/01/2018 12:00,27.850,27.850,0
77,07/01/2018 13:00,27.308,28.048,0
78,07/01/2018 14:00,27.456,28.072,0
79,07/01/2018 15:00,27.112,28.493,0
80,07/01/2018 16:00,27.063,28.841,0
81,07/01/2018 17:00,27.087,28.941,0
82,07/01/2018 18:00,27.235,28.667,0
83,07/01/2018 19:00,28.147,28.345,0
84,07/01/2018 20:00,27.850,28.023,0
85,07/01/2018 21:00,27.530,27.554,0
