#,"Date Time, GMT-05:00",0.5 m dfb,1 m dfb,1.5 m dfb,2.5 m dfb,3.5 m dfb,4.5 m dfb,5.7 m dfb,6.2 m dfb,DO 5.7 m dfb,DO 1 m dfb,FLAG
1,06/28/2018 9:00,32.691,#N/A,32.820,25.210,24.702,30.824,29.464,25.380,#N/A,#N/A,1
2,06/28/2018 10:00,32.924,#N/A,30.925,26.695,28.245,32.278,29.565,30.117,#N/A,#N/A,1
3,06/28/2018 11:00,32.201,#N/A,30.672,28.196,29.765,32.355,30.545,31.306,#N/A,#N/A,1
4,06/28/2018 12:00,35.689,33.700,34.545,30.469,31.586,35.958,33.287,34.255,7.23,6.87,1
5,06/28/2018 13:00,30.697,32.260,30.571,29.265,29.540,31.382,30.469,31.077,7.26,7.11,1
6,06/28/2018 14:00,32.278,32.420,33.652,34.150,33.209,36.688,34.545,35.985,6.78,7.07,1
7,06/28/2018 15:00,15.485,15.860,17.106,21.819,23.761,24.122,25.623,24.750,10.08,8.78,0
8,06/28/2018 16:00,15.509,15.540,16.749,21.366,23.857,24.315,25.598,24.798,10.09,9.88,0
9,06/28/2018 17:00,15.557,15.860,17.415,21.581,23.833,24.291,25.477,24.992,10.30,10.42,0
10,06/28/2018 18:00,15.533,15.740,16.987,21.199,23.809,24.363,26.012,25.137,10.36,8.87,0
11,06/28/2018 19:00,15.533,16.240,17.368,21.056,23.713,24.243,26.012,25.186,10.35,12.91,0
12,06/28/2018 20:00,15.581,15.760,17.011,21.294,23.809,24.267,26.012,25.137,10.36,9.75,0
13,06/28/2018 21:00,15.629,15.880,16.630,21.628,23.905,24.291,25.963,24.992,10.34,9.27,0
14,06/28/2018 22:00,15.629,16.020,17.415,20.889,23.593,24.363,25.890,25.016,10.42,10.78,0
15,06/28/2018 23:00,15.581,15.900,17.034,20.889,23.713,24.267,25.914,24.871,10.32,9.90,0
16,06/29/2018 0:00,15.557,15.760,16.630,21.127,23.737,24.243,25.817,25.016,10.42,8.73,0
17,06/29/2018 1:00,15.581,15.920,17.130,21.103,23.785,24.171,25.720,25.016,10.37,10.03,0
18,06/29/2018 2:00,15.533,15.900,16.820,21.413,23.857,24.171,25.623,24.919,10.28,10.54,0
19,06/29/2018 3:00,15.581,15.900,16.844,21.652,23.809,24.195,25.550,25.234,10.32,10.75,0
20,06/29/2018 4:00,15.533,15.920,16.773,21.246,23.713,24.243,25.453,25.137,10.14,10.81,0
21,06/29/2018 5:00,15.509,15.800,16.820,21.199,23.665,24.219,25.380,25.331,10.12,9.01,0
22,06/29/2018 6:00,15.509,15.800,16.701,21.103,23.713,24.243,25.331,25.258,10.22,9.08,0
