DNR Parameter,Parameter Description,Alternate IDs,Result Type,Result Value,Units,LOD,LOQ,Lower Bound,Upper Bound,Sig Figs,Dec. Places,Sample/Labslip ID,Waterbody ID #,Field #,Sample Collected (Start) Date,Sample Description,Sample Location,Account #,Sample Depth
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.455,MG/L,0.1,0.3,,,3,3,412650001,106900,PSNT10418,10/4/2018 12:13,DEEP HOLE/INTEGRATED SAMPLE,PLEASANT LAKE-DEEP HOLE,WQ030,0-6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.512,MG/L,0.1,0.3,,,3,3,412650002,1000800,LL10418,10/4/2018 10:15,DEEP HOLE/INTEGRATED SAMPLE,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,0-1.5M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.11,MG/L,0.1,0.3,,,3,2,412650003,1012500,PFL10418,10/4/2018 10:01,DEEP HOLE/INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.514,MG/L,0.1,0.3,,,3,3,415224001,,PSNT01 101718,10/17/2018 9:05,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT01 MONITORING WELL,WQ030,20.4F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,2.8,MG/L,0.1,0.3,,,3,2,415224002,,PSNT16 101718,10/17/2018 9:59,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT16 MONITORING WELL,WQ030,29.3F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.9,MG/L,0.1,0.3,,,3,2,415224003,,PSNT06 101718,10/17/2018 12:02,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,WQ030,25.1F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.712,MG/L,0.1,0.3,,,3,3,415224004,,PSNT03 101718,10/17/2018 11:23,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,WQ030,22.6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.263,MG/L,0.1,0.3,,,3,3,415224005,,PSNT11 101718,10/17/2018 10:46,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT11 MONITORING WELL,WQ030,6.9F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.674,MG/L,0.1,0.3,,,3,3,415224006,,LL03 101718,10/17/2018 15:12,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL03 MONITORING WELL,WQ030,20.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.755,MG/L,0.1,0.3,,,3,3,415224007,,LL02 101718,10/17/2018 14:38,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL02 MONITORING WELL,WQ030,15.2F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.591,MG/L,0.1,0.3,,,3,3,415224008,,LL06 101618,10/16/2018 17:33,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL06 MONITORING WELL,WQ030,29.2F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.616,MG/L,0.1,0.3,,,3,3,415224009,,LL07 101618,10/16/2018 16:37,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL07 MONITORING WELL,WQ030,25.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,4.35,MG/L,0.1,0.3,,,3,2,415224010,,PFL03 101618,10/16/2018 10:55,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL03 MONITORING WELL,WQ030,31.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.673,MG/L,0.1,0.3,,,3,3,415224011,,PFL02 101618,10/16/2018 12:58,MONITORING WELL / MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL02 MONITORING WELL,WQ030,30.4F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.36,MG/L,0.1,0.3,,,3,3,415224012,,PFL07 101618,10/16/2018 10:06,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL07 MONITORING WELL,WQ030,11.1F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.822,MG/L,0.1,0.3,,,3,3,415224013,,PFL04 101618,10/16/2018 11:51,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL04 MONITORING WELL,WQ030,14.9F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.935,MG/L,0.1,0.3,,,3,3,384140001,1000800,LONG52218,5/22/2018 13:00,INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,0-1M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.529,MG/L,0.1,0.3,,,3,3,384140002,106900,PLEASANT52218,5/22/2018 16:20,INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,0-6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.995,MG/L,0.1,0.3,,,3,3,384140003,1012500,PLAINFIELD 52218,5/22/2018 14:30,INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,2,ND,MG/L,0.1,0.3,,,3,0,384140004,1012500,PLAIN BLANK,5/22/2018 14:30,INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.983,MG/L,0.1,0.3,,,3,3,384140005,1012500,PLAIN DUP 52218,5/22/2018 14:30,INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.16,MG/L,0.1,0.3,,,3,2,402763001,1012500,PFL082218,8/22/2018 10:10,DEEP HOLE/INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-1.5M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.619,MG/L,0.1,0.3,,,3,3,402763002,1000800,LL082218,8/22/2018 11:34,DEEP HOLE INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,0-1.5M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.317,MG/L,0.1,0.3,,,3,3,402763003,106900,PLES082218,8/22/2018 13:10,DEEP HOLE INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,0-6FT
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.662,MG/L,0.1,0.3,,,3,3,424393001,,PSNT01 121318,12/13/2018 9:51,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT01 MONITORING WELL,WQ030,23.4F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.678,MG/L,0.1,0.3,,,3,3,424393002,,PSNT03 121318,12/13/2018 13:40,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,WQ030,25.6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.71,MG/L,0.1,0.3,,,3,2,424393003,,PSNT06 121318,12/13/2018 12:18,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,WQ030,28F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.244,MG/L,0.1,0.3,,,3,3,424393004,,PSNT11 121318,12/13/2018 14:44,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT11 MONITORING WELL,WQ030,9.9F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.97,MG/L,0.1,0.3,,,3,2,424393005,,PSNT16 121318,12/13/2018 11:04,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT16 MONITORING WELL,WQ030,32.3F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.949,MG/L,0.1,0.3,,,3,3,424393006,,PFL02 121318,12/13/2018 12:06,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL02 MONITORING WELL,WQ030,33.4F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,5.57,MG/L,0.1,0.3,,,3,2,424393007,,PFL03 121318,12/13/2018 10:25,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL03 MONITORING WELL,WQ030,34F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.981,MG/L,0.1,0.3,,,3,3,424393008,,PFL04 121318,12/13/2018 11:09,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL04 MONITORING WELL,WQ030,18F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.826,MG/L,0.1,0.3,,,3,3,424393009,,PFL07 121318,12/13/2018 9:43,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL07 MONITORING WELL,WQ030,14F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.728,MG/L,0.1,0.3,,,3,3,424393010,,LL02 121318,12/13/2018 13:29,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL02 MONITORING WELL,WQ030,18F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.787,MG/L,0.1,0.3,,,3,3,424393011,,LL03 121318,12/13/2018 12:58,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL03 MONITORING WELL,WQ030,23F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.472,MG/L,0.1,0.3,,,3,3,424393012,,LL06 121318,12/13/2018 14:53,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL06 MONITORING WELL,WQ030,32F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.63,MG/L,0.1,0.3,,,3,3,424393013,,LL07 121318,12/13/2018 14:05,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL07 MONITORING WELL,WQ030,28.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.766,MG/L,0.1,0.3,,,3,3,432719001,,LL03 022219,2/22/2019 11:02,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL03 MONITORING WELL,WQ030,
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.967,MG/L,0.1,0.3,,,3,3,432719002,,LL02 022219,2/22/2019 10:26,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL02 MONITORING WELL,WQ030,17.2F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.802,MG/L,0.1,0.3,,,3,3,432719003,,LL07 022219,2/22/2019 9:48,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL07 MONITORING WELL,WQ030,18.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.614,MG/L,0.1,0.3,,,3,3,432719004,,LL06 022119,2/21/2019 16:26,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL06 MONITORING WELL,WQ030,32.75F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,5.69,MG/L,0.1,0.3,,,3,2,432719005,,PFL03 022119,2/21/2019 11:18,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL03 MONITORING WELL,WQ030,34F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.657,MG/L,0.1,0.3,,,3,3,432719006,,PFL07 022119,2/21/2019 10:14,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL07 MONITORING WELL,WQ030,13.09F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.98,MG/L,0.1,0.3,,,3,3,432719007,,PFL02 022119,2/21/2019 13:39,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL02 MONITORING WELL,WQ030,32F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,2.06,MG/L,0.1,0.3,,,3,2,432719008,,PFL04 022119,2/21/2019 12:16,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL04 MONITORING WELL,WQ030,17.3F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.92,MG/L,0.1,0.3,,,3,2,432719009,1012500,PLAIN 022119,2/21/2019 14:55,DEEP HOLE / INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-2M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.15,MG/L,0.1,0.3,,,3,2,432719010,1000800,LONG 022219,2/22/2019 12:17,DEEP HOLE / INTEGRATED SAMPLER,LONG LAKE - WINTER CHEMISTRY,WQ030,0-2M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.447,MG/L,0.2,0.6,,,3,3,442253001,106900,PLEAS 042419,4/24/2019 15:41,DEEP HOLE / INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,0-2M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.35,MG/L,0.2,0.6,,,3,2,442253002,1012500,PLAIN 042419,4/24/2019 12:57,DEEP HOLE / INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-2M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.834,MG/L,0.2,0.6,,,3,3,442253003,1000800,LONG 042419,4/24/2019 13:57,DEEP HOLE / INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,0-2M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.652,MG/L,0.1,0.3,,,3,3,433206001,,PSNT03 022719,2/27/2019 14:29,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT03 MONITORING WELL,WQ030,25F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.436,MG/L,0.1,0.3,,,3,3,433206002,106900,PLEAS 022719,2/27/2019 9:34,DEEP HOLE- INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,0-2M
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.678,MG/L,0.1,0.3,,,3,3,433206003,,PSNT01 022719,2/27/2019 10:55,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT01 MONITORING WELL,WQ030,23F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.369,MG/L,0.1,0.3,,,3,3,433206004,,PSNT11 022719,2/27/2019 13:40,MID-SCREEN OF WELL/PERISTALTIC PUMP,PSNT11 MONITORING WELL,WQ030,10F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.47,MG/L,0.1,0.3,,,3,2,433206005,,PSNT06 022719,2/27/2019 15:36,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT06 MONITORING WELL,WQ030,20F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,2.62,MG/L,0.1,0.3,,,3,2,433206006,,PSNT16 022719,2/27/2019 12:31,MID-SCREEN OF WELL/PERISTALTIC PUMP,PSNT16 MONITORING WELL,WQ030,23F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.639,MG/L,0.2,0.6,,,3,3,442376001,,LL03 042319,4/23/2019 13:11,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL03 MONITORING WELL,WQ030,22.75F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.403,MG/L,0.2,0.6,,,3,3,442376002,,LL06 042319,4/23/2019 15:37,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL06 MONITORING WELL,WQ030,31.1F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.506,MG/L,0.2,0.6,,,3,3,442376003,,LL07 042319,4/23/2019 13:49,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL07 MONITORING WELL,WQ030,27.5F
