DNR Parameter,Parameter Description,DNR Parameter Type,Alternate IDs,Result Type,Result Value,Units,LOD,LOQ,Lower Bound,Upper Bound,Sig Figs,Dec. Places,Result Amount,Lab ID,Lab Name,Sample/Labslip ID,Analysis Date,Method,Lab Comment,Batch ID,ID #,ID Point #,Waterbody ID #,Field #,Sample Collected (Start) Date,Sample Collected End Date,Date Received by Lab,Date Reported by Lab,Sample Description,Sample Location,Account #,Account Desc.,Program Code,Region,County,Report to Name,Report to Address,"Report to City, State, Zip",Sample Collector,Sample Source,Sample Reason,Project #,Enforcement Code,Check Date,Sample Depth,Sample Status
918,CALCIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7440702 EPA WQX: 727 SRS: E150268 STORET_LEGACY: 918 ,1,30,MG/L,0.1,0.3,,,3,1,30,113133790,Wisconsin State Laboratory of Hygiene,394040001,7/18/2018 11:15,EPA 200.7,,135537,10050786,161996028,1012500,PLA71218,7/12/2018 10:41,7/12/2018 11:45,7/12/2018 15:40,7/20/2018 11:00,,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
921,MAGNESIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7439954 EPA WQX: 1244 SRS: E149617 STORET_LEGACY: 921 ,1,16,MG/L,0.1,0.3,,,3,1,16,113133790,Wisconsin State Laboratory of Hygiene,394040001,7/18/2018 11:15,EPA 200.7,,135537,10050786,161996028,1012500,PLA71218,7/12/2018 10:41,7/12/2018 11:45,7/12/2018 15:40,7/20/2018 11:00,,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
899,HARDNESS TOTAL RECOVERABLE CALCULATION,DNR_STORET,EPA WQX: 1097 SRS: E1643592 STORET_LEGACY: 899 ,1,141,MG/L,0.66,2,,,3,0,141,113133790,Wisconsin State Laboratory of Hygiene,394040001,7/18/2018 11:15,EPA 200.7,,135537,10050786,161996028,1012500,PLA71218,7/12/2018 10:41,7/12/2018 11:45,7/12/2018 15:40,7/20/2018 11:00,,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
95,"CONDUCTIVITY, UMHOS/CM @ 25C",DNR_STORET,EPA WQX: 1815 SRS: E1640291 SRS: E1646694 STORET_LEGACY: 95 ,1,295,uS/cm,10,10,,,3,0,295,113133790,Wisconsin State Laboratory of Hygiene,394040001,7/19/2018 11:26,"SM2510B,EPA150.1,SM2320B",,135541,10050786,161996028,1012500,PLA71218,7/12/2018 10:41,7/12/2018 11:45,7/12/2018 15:40,7/20/2018 11:00,,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,7.77,SU,,,,,3,2,7.77,113133790,Wisconsin State Laboratory of Hygiene,394040001,7/19/2018 11:26,"SM2510B,EPA150.1,SM2320B",,135541,10050786,161996028,1012500,PLA71218,7/12/2018 10:41,7/12/2018 11:45,7/12/2018 15:40,7/20/2018 11:00,,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
410,ALKALINITY TOTAL CACO3,DNR_STORET,EPA WQX: 3125 SRS: E1640192 STORET_LEGACY: 410 ,1,135,MG/L,2.55,2.55,,,3,0,135,113133790,Wisconsin State Laboratory of Hygiene,394040001,7/19/2018 11:26,"SM2510B,EPA150.1,SM2320B",,135541,10050786,161996028,1012500,PLA71218,7/12/2018 10:41,7/12/2018 11:45,7/12/2018 15:40,7/20/2018 11:00,,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
918,CALCIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7440702 EPA WQX: 727 SRS: E150268 STORET_LEGACY: 918 ,1,26.9,MG/L,0.1,0.3,,,3,1,26.9,113133790,Wisconsin State Laboratory of Hygiene,394040002,7/18/2018 11:20,EPA 200.7,,135537,703057,161996162,106900,PLE71218,7/12/2018 13:30,7/12/2018 13:46,7/12/2018 15:40,7/20/2018 11:00,,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-2M,COMPLETE
921,MAGNESIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7439954 EPA WQX: 1244 SRS: E149617 STORET_LEGACY: 921 ,1,18.6,MG/L,0.1,0.3,,,3,1,18.6,113133790,Wisconsin State Laboratory of Hygiene,394040002,7/18/2018 11:20,EPA 200.7,,135537,703057,161996162,106900,PLE71218,7/12/2018 13:30,7/12/2018 13:46,7/12/2018 15:40,7/20/2018 11:00,,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-2M,COMPLETE
899,HARDNESS TOTAL RECOVERABLE CALCULATION,DNR_STORET,EPA WQX: 1097 SRS: E1643592 STORET_LEGACY: 899 ,1,144,MG/L,0.66,2,,,3,0,144,113133790,Wisconsin State Laboratory of Hygiene,394040002,7/18/2018 11:20,EPA 200.7,,135537,703057,161996162,106900,PLE71218,7/12/2018 13:30,7/12/2018 13:46,7/12/2018 15:40,7/20/2018 11:00,,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-2M,COMPLETE
95,"CONDUCTIVITY, UMHOS/CM @ 25C",DNR_STORET,EPA WQX: 1815 SRS: E1640291 SRS: E1646694 STORET_LEGACY: 95 ,1,268,uS/cm,10,10,,,3,0,268,113133790,Wisconsin State Laboratory of Hygiene,394040002,7/19/2018 11:33,"SM2510B,EPA150.1,SM2320B",,135541,703057,161996162,106900,PLE71218,7/12/2018 13:30,7/12/2018 13:46,7/12/2018 15:40,7/20/2018 11:00,,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-2M,COMPLETE
