DNR Parameter,Parameter Type,Description,Result,Units,Present/Absent,Analysis Method,Start Date/Time,Analysis Date/Time,Result Depth,Header/Labslip Depth,Lab ID,Sample/Labslip ID,Collector (Labslip),Lab Method,Result Comments,Lab Comments,LOD,Lower Bound,LOQ,Upper Bound,ID No,ID Point No,Second ID No,Fieldwork Event Field No,Sample/Labslip Field No,Project #,Sample Description,Location Description,Sample Comments,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Station Latitude,Monitoring Station Longitude,Received,Reported,Station ID,Station Name,WBIC,Official Waterbody Name,Station Type,Watershed,County,WMU,Lab Account Code
"95","DNR_STORET","CONDUCTIVITY, UMHOS/CM @ 25C","270","uS/cm","","","09/20/2018 01:15 PM","09/21/2018 02:35 PM","","0 to 6 Feet","113133790","409402001","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B","","","10.0","","10.0","","703057","161996170","106900","PST920108","PST920108","CSLS","PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER","PLEASANT LAKE-DEEP HOLE","","43.98528","-89.55251","43.98528","-89.55251","09/20/2018","10/22/2018","703057","Pleasant Lake - Deep Hole","106900","Pleasant Lake","LAKE-DEEPEST SPOT","Mecan River","Waushara","Upper Fox","WQ030"
"403","DNR_STORET","PH LAB","8.67","SU","","","09/20/2018 01:15 PM","09/21/2018 02:35 PM","","0 to 6 Feet","113133790","409402001","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B","","","","","","","703057","161996170","106900","PST920108","PST920108","CSLS","PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER","PLEASANT LAKE-DEEP HOLE","","43.98528","-89.55251","43.98528","-89.55251","09/20/2018","10/22/2018","703057","Pleasant Lake - Deep Hole","106900","Pleasant Lake","LAKE-DEEPEST SPOT","Mecan River","Waushara","Upper Fox","WQ030"
"410","DNR_STORET","ALKALINITY TOTAL CACO3","129","MG/L","","","09/20/2018 01:15 PM","09/21/2018 02:35 PM","","0 to 6 Feet","113133790","409402001","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B","alkalinity check std exceeded QC limit by 2%","","2.55","","2.55","","703057","161996170","106900","PST920108","PST920108","CSLS","PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER","PLEASANT LAKE-DEEP HOLE","","43.98528","-89.55251","43.98528","-89.55251","09/20/2018","10/22/2018","703057","Pleasant Lake - Deep Hole","106900","Pleasant Lake","LAKE-DEEPEST SPOT","Mecan River","Waushara","Upper Fox","WQ030"
"918","DNR_STORET","CALCIUM TOTAL RECOVERABLE","27.2","MG/L","","","09/20/2018 01:15 PM","09/25/2018 09:38 AM","","0 to 6 Feet","113133790","409402001","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","EPA 200.7","","","0.100","","0.300","","703057","161996170","106900","PST920108","PST920108","CSLS","PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER","PLEASANT LAKE-DEEP HOLE","","43.98528","-89.55251","43.98528","-89.55251","09/20/2018","10/22/2018","703057","Pleasant Lake - Deep Hole","106900","Pleasant Lake","LAKE-DEEPEST SPOT","Mecan River","Waushara","Upper Fox","WQ030"
"921","DNR_STORET","MAGNESIUM TOTAL RECOVERABLE","18.7","MG/L","","","09/20/2018 01:15 PM","09/25/2018 09:38 AM","","0 to 6 Feet","113133790","409402001","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","EPA 200.7","","","0.100","","0.300","","703057","161996170","106900","PST920108","PST920108","CSLS","PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER","PLEASANT LAKE-DEEP HOLE","","43.98528","-89.55251","43.98528","-89.55251","09/20/2018","10/22/2018","703057","Pleasant Lake - Deep Hole","106900","Pleasant Lake","LAKE-DEEPEST SPOT","Mecan River","Waushara","Upper Fox","WQ030"
"899","DNR_STORET","HARDNESS TOTAL RECOVERABLE CALCULATION","145","MG/L","","","09/20/2018 01:15 PM","09/25/2018 09:38 AM","","0 to 6 Feet","113133790","409402001","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","EPA 200.7","","","0.660","","2.00","","703057","161996170","106900","PST920108","PST920108","CSLS","PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER","PLEASANT LAKE-DEEP HOLE","","43.98528","-89.55251","43.98528","-89.55251","09/20/2018","10/22/2018","703057","Pleasant Lake - Deep Hole","106900","Pleasant Lake","LAKE-DEEPEST SPOT","Mecan River","Waushara","Upper Fox","WQ030"
"918","DNR_STORET","CALCIUM TOTAL RECOVERABLE","34.0","MG/L","","","09/20/2018 09:36 AM","09/25/2018 09:41 AM","","0 to 1.5 Meters","113133790","409402002","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","EPA 200.7","","","0.100","","0.300","","10050786","161996036","1012500","PFD92018","PFD92018","CSLS","PLAINFIELD LAKE DEEP GOLE INTEGRATED SAMPLER","PLAINFIELD LAKE-DEEP HOLE","","44.20713","-89.47346","44.20713","-89.47346","09/20/2018","10/22/2018","10050786","Plainfield Lake - Deep Hole","1012500","Plainfield Lake","LAKE-DEEPEST SPOT","Fourteenmile Creek","Waushara","Central Wisconsin","WQ030"
"921","DNR_STORET","MAGNESIUM TOTAL RECOVERABLE","16.3","MG/L","","","09/20/2018 09:36 AM","09/25/2018 09:41 AM","","0 to 1.5 Meters","113133790","409402002","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","EPA 200.7","","","0.100","","0.300","","10050786","161996036","1012500","PFD92018","PFD92018","CSLS","PLAINFIELD LAKE DEEP GOLE INTEGRATED SAMPLER","PLAINFIELD LAKE-DEEP HOLE","","44.20713","-89.47346","44.20713","-89.47346","09/20/2018","10/22/2018","10050786","Plainfield Lake - Deep Hole","1012500","Plainfield Lake","LAKE-DEEPEST SPOT","Fourteenmile Creek","Waushara","Central Wisconsin","WQ030"
"899","DNR_STORET","HARDNESS TOTAL RECOVERABLE CALCULATION","152","MG/L","","","09/20/2018 09:36 AM","09/25/2018 09:41 AM","","0 to 1.5 Meters","113133790","409402002","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","EPA 200.7","","","0.660","","2.00","","10050786","161996036","1012500","PFD92018","PFD92018","CSLS","PLAINFIELD LAKE DEEP GOLE INTEGRATED SAMPLER","PLAINFIELD LAKE-DEEP HOLE","","44.20713","-89.47346","44.20713","-89.47346","09/20/2018","10/22/2018","10050786","Plainfield Lake - Deep Hole","1012500","Plainfield Lake","LAKE-DEEPEST SPOT","Fourteenmile Creek","Waushara","Central Wisconsin","WQ030"
"95","DNR_STORET","CONDUCTIVITY, UMHOS/CM @ 25C","312","uS/cm","","","09/20/2018 09:36 AM","09/28/2018 11:42 AM","","0 to 1.5 Meters","113133790","409402002","CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B","","","10.0","","10.0","","10050786","161996036","1012500","PFD92018","PFD92018","CSLS","PLAINFIELD LAKE DEEP GOLE INTEGRATED SAMPLER","PLAINFIELD LAKE-DEEP HOLE","","44.20713","-89.47346","44.20713","-89.47346","09/20/2018","10/22/2018","10050786","Plainfield Lake - Deep Hole","1012500","Plainfield Lake","LAKE-DEEPEST SPOT","Fourteenmile Creek","Waushara","Central Wisconsin","WQ030"
