lake,elev_m,area_m2,vol_m3
Long,332.84162,0,0
Long,332.99402,10139.26608,343.1479706
Long,333.14642,43025.99641,4253.239403
Long,333.29882,84755.10994,13942.02061
Long,333.45122,107148.8789,28611.10115
Long,333.60362,125353.7855,46374.47231
Long,333.75602,140368.4989,66626.31046
Long,333.90842,151506.4342,88920.83876
Long,334.06082,160570.7438,112722.8066
Long,334.21322,168671.0604,137833.3457
Long,334.36562,176285.9127,164129.3197
Long,334.51802,183221.1153,191526.7422
Long,334.67042,189941.3265,219981.7924
Long,334.82282,196474.2873,249438.2522
Long,334.97522,202729.8399,279850.1999
Long,335.12762,208409.7708,311179.8289
Long,335.28002,214048.0904,343372.7892
Long,335.43242,219103.8531,376378.5456
Long,335.58482,224000.106,410152.7914
Long,335.73722,228833.9422,444663.3962
Long,335.88962,233244.731,479879.3698
Long,336.04202,237724.8718,515776.3628
Long,336.19442,242010.827,552331.7424
Long,336.34682,246303.7173,589540.9878
Long,336.4992,250575.8021,627383.1161
Plainfield,331.92722,0,0
Plainfield,332.07962,74.32272929,0.280116488
Plainfield,332.23202,1077.679575,75.15740838
Plainfield,332.38442,3716.136465,401.0564977
Plainfield,332.53682,26273.0848,2421.827046
Plainfield,332.68922,52880.62189,8376.594374
Plainfield,332.84162,78001.70439,18584.94531
Plainfield,332.99402,91639.92522,31522.98719
Plainfield,333.14642,102639.6892,46432.55015
Plainfield,333.29882,111484.0939,62781.64648
Plainfield,333.45122,117058.2986,80186.37257
Plainfield,333.60362,122558.1806,98468.56186
Plainfield,333.75602,126683.0921,117470.6426
Plainfield,333.90842,130362.0672,137050.1137
Plainfield,334.06082,134486.9787,157241.4704
Plainfield,334.21322,138351.7606,178044.4109
Plainfield,334.36562,142773.963,199488.6231
Plainfield,334.51802,146936.0358,221541.7882
Plainfield,334.67042,151841.3359,244324.5524
Plainfield,334.82282,158753.3498,267940.7289
Plainfield,334.97522,172168.6024,293240.7605
Plainfield,335.12762,179154.939,320014.4963
Plainfield,335.28002,184060.2391,347732.8358
Plainfield,335.43242,188333.796,376104.3776
Plainfield,335.58482,192049.9325,405053.2451
Plainfield,335.73722,195654.5849,434602.9829
Plainfield,335.88962,199593.6895,464741.1989
Plainfield,336.04202,204090.2146,495519.1874
Plainfield,336.19442,206914.4783,526843.4404
Plainfield,336.34682,209738.7421,558583.8967
Plainfield,336.49922,212711.6512,590765.5114
Plainfield,336.65161,212823.1353,623193.4756
Pleasant,291.083989,0,0
Pleasant,291.236389,2287.653608,67.07897362
Pleasant,291.388789,23869.85935,1784.195243
Pleasant,291.541189,56198.01691,7452.218323
Pleasant,291.693589,113600.062,20394.12076
Pleasant,291.845989,163567.2329,41693.35618
Pleasant,291.998389,188490.617,68575.55777
Pleasant,292.150789,208868.7945,98879.50535
Pleasant,292.303189,225574.686,132078.0646
Pleasant,292.455589,239120.0034,167497.5043
Pleasant,292.607989,250588.3721,204835.0226
Pleasant,292.760389,260762.4106,243795.1267
Pleasant,292.912789,269672.2193,284228.9078
Pleasant,293.065189,277980.014,325959.7429
Pleasant,293.217589,285294.4854,368869.0939
Pleasant,293.369989,292157.4462,412861.4796
Pleasant,293.522389,298779.6014,457905.7715
Pleasant,293.674789,305251.2531,503926.082
Pleasant,293.827189,310819.8836,550856.0101
Pleasant,293.979589,316057.4063,598658.8927
Pleasant,294.131989,321626.0368,647231.7482
Pleasant,294.284389,326111.0419,696604.636
Pleasant,294.436789,330565.9463,746662.1476
Pleasant,294.589189,335502.462,797407.4384
Pleasant,294.741589,339656.3593,848856.7806
Pleasant,294.893989,344653.0764,901016.0918
Pleasant,295.046389,349679.8942,953911.406
Pleasant,295.198789,354556.2085,1007567.922
Pleasant,295.351189,359191.7171,1061960.621
Pleasant,295.503589,364037.9307,1117086.532
Pleasant,295.655989,368944.3456,1172942.687
Pleasant,295.808389,374512.9761,1229626.316
Pleasant,295.960789,380322.4123,1287122.451
Pleasant,296.113189,386583.359,1345561.286
Pleasant,296.265589,393506.5212,1405002.453
Pleasant,296.417989,400730.6905,1465523.819
Pleasant,296.570389,408105.3633,1527117.345
Pleasant,296.722789,416262.6545,1589912.638
Pleasant,296.875189,425593.8731,1654074.918
Pleasant,297.027589,435828.1129,1719681.307
Pleasant,297.179989,447446.9852,1786962.173
Pleasant,297.332389,460330.0871,1856137.221
Pleasant,297.484789,474176.4116,1927410.978
Pleasant,297.637189,486126.3916,2000563.978
Pleasant,297.789589,495186.7039,2075367.354
Pleasant,297.941989,503313.8944,2151496.453
Pleasant,298.094389,509695.2439,2228741.715
Pleasant,298.246789,515083.2702,2306847.619
Pleasant,298.399189,521374.3176,2385836.019
Pleasant,298.551589,527394.4587,2465747.599
Pleasant,298.703989,533264.0962,2546581.04
Pleasant,298.856389,543709.041,2628575.665
Pleasant,299.008789,551053.6131,2712080.679
Pleasant,299.161189,557103.8549,2796528.06
Pleasant,299.313589,561498.5578,2881796.956
Pleasant,299.465989,565321.3474,2967640.305
Pleasant,299.618389,569806.3525,3054135.657
Pleasant,299.770789,569866.5539,3140980.903
