"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-01",,,,,"0.00","0.0",,"31","21","29"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-02",,,,,"0.00","0.0",,"33","7","31"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-03",,,,,,"0.0",,"32","20","26"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-04","    2",,"0.05",,,"0.5",,"26","20","23"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-05",,,,,"0.00","0.0",,"24","-7","16"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-06",,,,,,"0.0",,"22","-1","21"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-07","    2",,"0.15",,,"1.5",,"21","17","21"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-08",,,,,"0.00","0.0",,"21","0","8"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-09",,,,,"0.00","0.0",,"9","-5","-3"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-10",,,,,"0.00","0.0",,"10","-11","10"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-11",,,,,"0.03","0.3",,"9","-10","-10"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-12",,,,,"0.00","0.0",,"-1","-13","-2"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-13",,,,,"0.00","0.0",,"11","-11","9"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-14",,,,,"0.00","0.0",,"15","5","12"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-15",,,,,"0.00","0.0",,"29","10","24"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-16",,,,,"0.00","0.0",,"34","13","28"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-17",,,,,"0.00","0.0",,"28","10","12"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-18",,,,,"0.00","0.0",,"12","-5","5"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-19",,,,,"0.00","0.0",,"21","-5","21"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-20",,,,,"0.00","0.0",,"29","13","14"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-21",,,,,"0.00","0.0",,"17","-4","12"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-22",,,,,"0.00","0.0",,"22","2","11"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-23",,,,,"0.00","0.0",,"15","-17","10"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-24",,,,,"0.00","0.0",,"21","5","20"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-25",,,,,"0.00","0.0",,"29","9","26"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-26",,,,,"0.00","0.0",,"38","23","37"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-27",,,,,"0.00","0.0",,"37","15","33"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-28",,,,,"0.00","0.0",,"34","29","34"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-29",,,,,"0.00","0.0",,"34","18","19"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-30",,,,,"0.00","0.0",,"19","-8","3"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-01-31",,,,,"0.00","0.0",,"27","-4","27"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-01",,,,,"0.00","0.0",,"36","19","30"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-02",,,,,"0.00","0.0",,"30","19","20"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-03",,,,,"0.00","0.0",,"20","4","17"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-04",,,,,"0.95","9.5",,"23","12","19"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-05",,,,,"0.00","0.0",,"23","-1","16"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-06",,,,,"0.00","0.0",,"21","-4","16"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-07",,,,,"0.00","0.0",,"27","-6","22"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-08",,,,,"0.00","0.0",,"24","6","17"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-09",,,,,"0.00","0.0",,"35","7","30"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-10",,,,,"0.00","0.0",,"43","22","37"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-11",,,,,"0.00","0.0",,"38","24","30"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-12",,,,,"0.00","0.0",,"30","21","25"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-13",,,,,"0.00","0.0",,"25","7","13"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-14",,,,,"0.00","0.0",,"33","-2","20"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-15",,,,,"0.00","0.0",,"20","7","8"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-16",,,,,"0.00","0.0",,"8","-15","-5"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-17",,,,,"0.00","0.0",,"-2","-21","-1"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-18",,,,,"0.00","0.0",,"-1","-21","-1"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-19",,,,,"0.05","0.5",,"14","-11","11"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-20",,,,,"0.00","0.0",,"19","-9","19"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-21",,,,,"0.00","0.0",,"23","10","14"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-22",,,,,"0.00","0.0",,"35","5","34"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-23",,,,,"0.00","0.0",,"34","22","27"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-24",,,,,"0.00","0.0",,"27","4","24"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-25",,,,,"0.00","0.0",,"35","9","32"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-26",,,,,"0.00","0.0",,"41","19","35"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-27",,,,,"0.41","0.0",,"45","26","41"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-02-28",,,,,"0.00","0.0",,"41","16","16"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-01",,,,,"0.00","0.0",,"31","3","30"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-02",,,,,"0.00","0.0",,"34","19","32"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-03",,,,,"0.00","0.0",,"35","27","34"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-04",,,,,"0.00","0.0",,"36","30","32"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-05",,,,,"0.00","0.0",,"35","27","34"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-06",,,,,"0.00","0.0",,"35","23","34"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-07",,,,,"0.00","0.0",,"43","34","37"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-08",,,,,"0.00","0.0",,"40","22","37"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-09",,,,,"0.00","0.0",,"41","25","38"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-10",,,,,"0.00","0.0",,"41","33","40"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-11",,,,,"0.00","0.0",,"45","21","38"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-12",,,,,"0.00","0.0",,"54","34","51"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-13",,,,,"0.00","0.0",,"51","35","41"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-14",,,,,"0.00","0.0",,"41","26","27"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-15",,,,,"0.00","0.0",,"37","21","35"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-16",,,,,"0.45","0.0",,"52","31","45"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-17",,,,,"0.20","0.0",,"46","33","40"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-18",,,,,"0.95","0.0",,"72","45","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-19",,,,,"0.91","0.0",,"61","51","55"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-20",,,,,"0.19","0.0",,"55","30","32"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-21",,,,,"0.00","0.0",,"44","20","41"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-22",,,,,"0.00","0.0",,"49","30","40"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-23",,,,,"0.00","0.0",,"46","32","43"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-24",,,,,"0.15","0.0",,"46","27","30"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-25",,,,,"0.00","0.0",,"43","22","41"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-26",,,,,"0.00","0.0",,"55","29","46"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-27",,,,,"0.00","0.0",,"46","28","40"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-28",,,,,"0.00","0.0",,"41","24","37"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-29",,,,,"0.00","0.0",,"43","20","36"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-30",,,,,"0.00","0.0",,"57","23","53"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-03-31",,,,,"0.00","0.0",,"56","30","52"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-01",,,,,"0.00","0.0",,"70","35","59"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-02",,,,,"0.67","0.0",,"61","40","41"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-03",,,,,"0.00","0.0",,"41","26","37"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-04",,,,,"0.00","0.0",,"42","19","40"
