lake,elev_m,area_m2,vol_m3
Pleasant,291.1426392,0,0
Pleasant,291.1731192,210.7049375,2.860522354
Pleasant,291.2035992,933.1218662,16.35660277
Pleasant,291.2340792,2227.452197,61.88704288
Pleasant,291.2645592,3822.789581,155.6807599
Pleasant,291.2950392,7073.66576,317.7724337
Pleasant,291.3255192,12281.08779,612.3244807
Pleasant,291.3559992,18421.63168,1085.479129
Pleasant,291.3864792,23659.15442,1729.080124
Pleasant,291.4169592,27782.95105,2505.219573
Pleasant,291.4474392,33321.48084,3441.286473
Pleasant,291.4779192,39100.81627,4541.698374
Pleasant,291.5083992,44609.24535,5818.460468
Pleasant,291.5388792,55114.39152,7323.289051
Pleasant,291.5693592,67094.47225,9194.21489
Pleasant,291.5998392,77599.61842,11408.40801
Pleasant,291.6303192,90061.31045,13959.27009
Pleasant,291.6607992,101228.6721,16881.80717
Pleasant,291.6912792,112606.7388,20131.9944
Pleasant,291.7217592,124135.3089,23735.21271
Pleasant,291.7522392,134098.6424,27676.63956
Pleasant,291.7827192,144212.4794,31911.78896
Pleasant,291.8131992,154777.827,36463.70861
Pleasant,291.8436792,163206.0245,41319.32129
Pleasant,291.8741592,168744.5543,46375.28261
Pleasant,291.9046392,173711.1706,51601.22087
Pleasant,291.9351192,178045.6722,56969.15091
Pleasant,291.9655992,183253.0942,62479.1067
Pleasant,291.9960792,188099.3078,68144.64956
Pleasant,292.0265592,192102.7016,73943.80472
Pleasant,292.0570392,196647.9081,79871.03852
Pleasant,292.0875192,200500.7984,85923.44544
Pleasant,292.1179992,204714.8972,92102.52555
Pleasant,292.1484792,208688.1903,98395.24023
Pleasant,292.1789592,212480.8792,104812.3638
Pleasant,292.2094392,216002.6617,111340.2962
Pleasant,292.2399192,219644.847,117982.1049
Pleasant,292.2703992,222654.9176,124716.186
Pleasant,292.3008792,225514.4846,131554.9408
Pleasant,292.3313592,228343.9509,138470.6578
Pleasant,292.3618392,230992.813,145472.6736
Pleasant,292.3923192,233160.0637,152547.2864
Pleasant,292.4227992,236230.3357,159698.7127
Pleasant,292.4532792,238939.3992,166943.0278
Pleasant,292.4837592,241106.65,174261.4933
Pleasant,292.5142392,243484.6057,181648.1217
Pleasant,292.5447192,246133.4678,189105.5668
Pleasant,292.5751992,248481.3228,196645.4187
Pleasant,292.6056792,250498.07,204253.9314
Pleasant,292.6361592,252544.918,211924.1851
Pleasant,292.6666392,254471.3631,219643.482
Pleasant,292.6971192,256217.204,227428.2861
Pleasant,292.7275992,258745.6633,235281.977
Pleasant,292.7580792,260732.3099,243198.3486
Pleasant,292.7885592,262056.7409,251165.9809
Pleasant,292.8190392,264344.3945,259184.0397
Pleasant,292.8495192,266331.041,267270.4572
Pleasant,292.8799992,268046.7813,275415.022
Pleasant,292.9104792,269491.6151,283611.8902
Pleasant,292.9409592,271177.2546,291844.8575
Pleasant,292.9714392,272892.9948,300135.1023
Pleasant,293.0019192,274638.8357,308481.9173
Pleasant,293.0323992,276173.9717,316879.8037
Pleasant,293.0628792,277919.8126,325315.035
Pleasant,293.0933592,279214.1429,333806.4303
Pleasant,293.1238392,280598.7754,342340.6151
Pleasant,293.1543192,282164.0121,350919.3464
Pleasant,293.1847992,283608.8459,359537.2533
Pleasant,293.2152792,285204.1833,368207.4222
Pleasant,293.2457592,286408.2115,376920.6771
Pleasant,293.2762392,287762.7433,385672.2982
Pleasant,293.3067192,289297.8792,394469.0695
Pleasant,293.3371992,290682.5117,403301.4807
Pleasant,293.3676792,292097.2448,412183.962
Pleasant,293.3981592,293421.6759,421107.7933
Pleasant,293.4286392,294896.6104,430074.9007
Pleasant,293.4591192,296130.7394,439080.7611
Pleasant,293.4895992,297334.7676,448125.0668
Pleasant,293.5200792,298719.4,457212.8747
Pleasant,293.5505592,299953.5289,466336.9976
Pleasant,293.5810392,300976.9529,475488.5949
Pleasant,293.6115192,302752.8945,484690.21
Pleasant,293.6419992,303956.9228,493938.2099
Pleasant,293.6724792,305251.2531,503227.4173
Pleasant,293.7029592,306304.7778,512548.6223
Pleasant,293.7334392,307388.4032,521895.1302
Pleasant,293.7639192,308201.1222,531278.585
Pleasant,293.7943992,309344.949,540692.1866
Pleasant,293.8248792,310699.4808,550144.7542
Pleasant,293.8553592,312114.2139,559628.8124
Pleasant,293.8858392,313137.6379,569157.5476
Pleasant,293.9163192,314311.5654,578722.8285
Pleasant,293.9467992,315033.9823,588315.2412
Pleasant,293.9772792,316027.3056,597925.9064
Pleasant,294.0077592,316900.2261,607572.6993
Pleasant,294.0382392,318044.0529,617254.9896
Pleasant,294.0687192,319067.4768,626968.5189
Pleasant,294.0991992,320241.4044,636713.4771
Pleasant,294.1296792,321505.634,646485.9942
Pleasant,294.1601592,322498.9573,656304.142
Pleasant,294.1906392,323371.8777,666148.3228
Pleasant,294.2211192,324335.1003,676024.5225
Pleasant,294.2515992,325268.2221,685918.3454
Pleasant,294.2820792,325990.6391,695848.4384
Pleasant,294.3125592,327014.0631,705803.8333
Pleasant,294.3430392,327856.8828,715787.2116
Pleasant,294.3735192,328820.1054,725787.99
Pleasant,294.4039992,329873.6301,735828.5254
Pleasant,294.4344792,330535.8456,745895.5202
Pleasant,294.4649592,331378.6653,755984.0103
Pleasant,294.4954392,332432.19,766104.6615
Pleasant,294.5259192,333305.1105,776241.6674
Pleasant,294.5563992,334418.8366,786418.108
Pleasant,294.5868792,335442.2606,796629.3626
Pleasant,294.6173592,336194.7782,806865.5627
Pleasant,294.6478392,337218.2022,817118.7303
Pleasant,294.6783192,338151.324,827413.1834
Pleasant,294.7087992,338964.0431,837736.0159
Pleasant,294.7392792,339596.1579,848079.4534
Pleasant,294.7697592,340499.1791,858435.7982
Pleasant,294.8002392,341703.2073,868836.4389
Pleasant,294.8307192,342786.8327,879269.8267
Pleasant,294.8611992,343840.3574,889735.4997
Pleasant,294.8916792,344502.5729,900227.4539
Pleasant,294.9221592,345495.8962,910735.3816
Pleasant,294.9526392,346489.2194,921282.5353
Pleasant,294.9831192,347301.9385,931858.9199
Pleasant,295.0135992,348626.3695,942468.5247
Pleasant,295.0440792,349499.29,953100.6904
Pleasant,295.0745592,350522.7139,963773.1606
Pleasant,295.1050392,351576.2386,974473.819
Pleasant,295.1355192,352539.4612,985204.0545
Pleasant,295.1659992,353472.5831,995954.9401
Pleasant,295.1964792,354405.7049,1006745.867
Pleasant,295.2269592,355489.3303,1017564.629
Pleasant,295.2574392,356452.5529,1028415.334
Pleasant,295.2879192,357415.7755,1039296.23
Pleasant,295.3183992,358168.2931,1050195.256
Pleasant,295.3488792,359101.415,1061127.579
Pleasant,295.3793592,360124.839,1072091.913
Pleasant,295.4098392,361298.7665,1083087.286
Pleasant,295.4403192,362141.5862,1094106.541
Pleasant,295.4707992,363074.7081,1105163.686
Pleasant,295.5012792,363977.7292,1116242.249
Pleasant,295.5317592,364910.8511,1127354.088
Pleasant,295.5622392,365964.3758,1138481.921
Pleasant,295.5927192,367138.3033,1149656.564
Pleasant,295.6231992,368101.5259,1160864.72
Pleasant,295.6536792,368854.0435,1172098.357
Pleasant,295.6841592,370238.676,1183364.79
Pleasant,295.7146392,371292.2006,1194657.132
Pleasant,295.7451192,372405.9267,1205996
Pleasant,295.7755992,373549.7536,1217366.465
Pleasant,295.8060792,374452.7747,1228769.182
Pleasant,295.8365592,375446.098,1240187.759
Pleasant,295.8670392,376379.2199,1251649.185
Pleasant,295.8975192,377854.1544,1263146.229
Pleasant,295.9279992,378847.4777,1274680.49
Pleasant,295.9584792,380232.1101,1286240.467
Pleasant,295.9889592,381466.2391,1297850.507
Pleasant,296.0194392,382610.0659,1309497.434
Pleasant,296.0499192,383874.2955,1321182.119
Pleasant,296.0803992,385469.6329,1332908.564
Pleasant,296.1108792,386523.1576,1344664.797
Pleasant,296.1413592,387757.2865,1356466.941
