"	Warning... ",,,,,,
"	   Date Selected:                 20180101:0100",,,,,,
"	   First Entry In Datebase:       20180215:0100",,,,,,
"	   ...Resetting Date Selected To: 20180215:0100",,,,,,
hancock,,,,,,
hourly summary,,,,,,
,,,,,,
date,time,atmp,pcpn,relh,srad,wspd
2/15/2018,1:00,2.6,0,89.7,0.3,3.2
2/15/2018,2:00,2.5,0,91.1,0.3,2.9
2/15/2018,3:00,2.8,0,91,0.5,2.9
2/15/2018,4:00,2.6,0,91.4,0.5,2.3
2/15/2018,5:00,2.4,0,91.5,0.5,2
2/15/2018,6:00,2.3,0,91.4,0.5,1.6
2/15/2018,7:00,1.9,0,91.8,1.5,0.8
2/15/2018,8:00,2.2,0,88.5,39,1.4
2/15/2018,9:00,2.7,0,82.6,313,1.3
2/15/2018,10:00,3.5,0,77.7,936.1,1.2
2/15/2018,11:00,5.4,0,67.8,1613.3,1.5
2/15/2018,12:00,6.4,0,62.5,1768.2,2.1
2/15/2018,13:00,6.3,0,62.2,1205.9,1.5
2/15/2018,14:00,6.3,0,61.5,1136.3,2.3
2/15/2018,15:00,5.4,0,65.3,889.6,3.1
2/15/2018,16:00,4.2,0,68.6,575.8,3.2
2/15/2018,17:00,3.5,0,69.5,199.2,1.8
2/15/2018,18:00,2.7,0,71.1,13.6,1.1
2/15/2018,19:00,1.7,0,73.4,0,1.8
2/15/2018,20:00,0.9,0,72.2,0,2.5
2/15/2018,21:00,-0.6,0,78.4,0,1.5
2/15/2018,22:00,-0.6,0,80.9,0,2.2
2/15/2018,23:00,-0.5,0,76.2,0,3.4
2/15/2018,24:00:00,-1.5,0,79.8,0,4.1
2/16/2018,1:00,-2.4,0,86.9,0,3.3
2/16/2018,2:00,-2.6,0,83.8,0,2.6
2/16/2018,3:00,-2.4,0,79.3,0,3.4
2/16/2018,4:00,-2.7,0,78.2,0,3.9
2/16/2018,5:00,-3.2,0,71.7,0,3.5
2/16/2018,6:00,-5.2,0,64.7,0,4.1
2/16/2018,7:00,-7.4,0,63.6,3,4.2
2/16/2018,8:00,-9.2,0,59.3,147.5,3.5
2/16/2018,9:00,-9.9,0,42.7,833.7,4.1
2/16/2018,10:00,-9.3,0,50.9,1370,3.5
2/16/2018,11:00,-8.8,0,43.5,1788,3.5
2/16/2018,12:00,-8.3,0,36.7,2025.6,3.4
2/16/2018,13:00,-7.7,0,34.8,2067.2,3.1
2/16/2018,14:00,-7.1,0,34.8,1912.8,3
2/16/2018,15:00,-6.5,0,35.1,1525,2.8
2/16/2018,16:00,-6,0,33.5,1082.4,2.6
2/16/2018,17:00,-6.1,0,34.3,508.1,2.1
2/16/2018,18:00,-7.4,0,38.1,28,1.2
2/16/2018,19:00,-9.2,0,47.4,0,0.6
2/16/2018,20:00,-9.3,0,55.2,0,1
2/16/2018,21:00,-9.2,0,50.8,0,1.3
2/16/2018,22:00,-9.2,0,52.6,0,1.8
2/16/2018,23:00,-9.9,0,57.3,0,1.6
2/16/2018,24:00:00,-10.5,0,63.3,0,1.7
2/17/2018,1:00,-10.3,0,61.8,0,2
2/17/2018,2:00,-9.7,0,57.9,0,2
2/17/2018,3:00,-9.5,0,58.5,0,1.9
2/17/2018,4:00,-9.1,0,59.8,0,2.8
2/17/2018,5:00,-8.9,0,60.4,0,2.6
2/17/2018,6:00,-8.2,0,63,0,3.1
2/17/2018,7:00,-7.7,0,65.2,0.7,3
2/17/2018,8:00,-7.1,0,62.3,64.6,3.3
2/17/2018,9:00,-6.3,0,59,296.2,2.6
2/17/2018,10:00,-5.5,0,58.4,265,2.4
2/17/2018,11:00,-4.6,0,58.5,416.8,2.8
2/17/2018,12:00,-5,0,80.2,439.5,3
2/17/2018,13:00,-4.9,0,90.8,568.6,2.1
2/17/2018,14:00,-4.3,0,91.6,541.2,1.6
2/17/2018,15:00,-4.1,0,91.1,624.2,2.1
2/17/2018,16:00,-3.5,0,88.4,596.4,1.8
2/17/2018,17:00,-3.1,0,84.1,114.6,1.9
2/17/2018,18:00,-3.1,0,83.3,29,2.3
2/17/2018,19:00,-3,0,83.7,0,2.1
2/17/2018,20:00,-3.1,0,84.3,0,1.9
2/17/2018,21:00,-3.9,0,85.3,0,2.1
2/17/2018,22:00,-4.4,0,88.1,0,2.2
2/17/2018,23:00,-4.5,0,88.2,0,2
2/17/2018,24:00:00,-5.7,0,91.6,0,1.2
2/18/2018,1:00,-6,0,92,0,1
2/18/2018,2:00,-7,0,93.6,0,0.6
2/18/2018,3:00,-9.1,0,93,0,0.2
2/18/2018,4:00,-11.4,0,93.1,0,0.3
2/18/2018,5:00,-12.4,0,92.4,0,0.4
2/18/2018,6:00,-11.2,0,92.7,0,0.4
2/18/2018,7:00,-10,0,93.2,6.9,0.3
2/18/2018,8:00,-7.6,0,94.2,73.7,0.4
2/18/2018,9:00,-6.1,0,89.8,332,1.2
2/18/2018,10:00,-4.2,0,80.4,888.6,2.7
2/18/2018,11:00,-1.7,0,66.7,1393.4,4.3
2/18/2018,12:00,0.7,0.51,60.2,1462.9,5.4
2/18/2018,13:00,1.8,0.51,60.8,1169.5,5.4
2/18/2018,14:00,2.3,0,60.8,879.3,5.6
2/18/2018,15:00,1.4,0,64.5,366.1,4.8
2/18/2018,16:00,1.3,0,67,262.7,4.7
2/18/2018,17:00,1.2,0,68.9,206.7,4.9
2/18/2018,18:00,1.2,0,66.9,24.9,5.2
2/18/2018,19:00,0.8,0,69.7,0,3
2/18/2018,20:00,0.3,0,74.1,0,2
2/18/2018,21:00,1.5,0,74.8,0,3.2
2/18/2018,22:00,2.5,0,76.2,0,3.6
2/18/2018,23:00,2.5,0,78,0,3.5
2/18/2018,24:00:00,1.7,0,81.6,0.1,2.3
2/19/2018,1:00,0.6,0,86.9,0.3,1.5
2/19/2018,2:00,0.6,0,88.4,0.5,1.9
2/19/2018,3:00,0.3,0,89.7,0.2,2
2/19/2018,4:00,0,0,91.5,0.6,1.1
2/19/2018,5:00,-0.3,0,94.2,1,0.6
