"lake","elev_m","area_m2","vol_m3","horiz_dist_m","plant_area_m2","upland_m2","upland_pcnt","inland_beach_m2","inland_beach_pcnt","emergent_m2","emergent_pcnt","floating_m2","floating_pcnt","submergent_weed_m2","submergent_weed_pcnt","submergent_algae_m2","submergent_algae_pcnt","submergent_m2","submergent_pcnt","meanHrdAtNest"
"Pleasant",291.1426392,0,0,263.039998476379,571281.2871,543498.33605,95.136730070219,90061.31045,15.76479266583,33321.48084,5.83276252739699,0,0,0,0,0,0,NA,NA,NA
"Pleasant",291.1731192,210.7049375,2.860522354,256.194980380863,571281.2871,537959.80626,94.167237472603,101228.6721,17.7195847975116,39100.81627,6.84440697655052,0,0,0,0,0,0,NA,NA,NA
"Pleasant",291.2035992,933.1218662,16.35660277,249.500836101709,571281.2871,532180.47083,93.1555930234495,112606.7388,19.7112598194187,44609.24535,7.80863059184912,0,0,0,0,0,0,NA,NA,NA
"Pleasant",291.2340792,2227.452197,61.88704288,242.89413458685,571281.2871,526672.04175,92.1913694081509,124135.3089,21.729279726656,55114.39152,9.64750513705388,0,0,0,0,0,0,NA,NA,NA
"Pleasant",291.2645592,3822.789581,155.6807599,236.970710981495,571281.2871,516166.89558,90.3524948629461,134098.6424,23.4733126094023,67094.47225,11.7445597755516,0,0,0,0,0,0,NA,NA,NA
"Pleasant",291.2950392,7073.66576,317.7724337,231.101126282826,571281.2871,504186.81485,88.2554402244484,144212.4794,25.2436903949834,77599.61842,13.5834343207563,0,0,0,0,0,0,NA,NA,0.2994857
"Pleasant",291.3255192,12281.08779,612.3244807,223.075709268133,571281.2871,493681.66868,86.4165656792436,154777.827,27.0931029065734,90061.31045,15.76479266583,0,0,0,0,0,0,NA,NA,0.2984951125
"Pleasant",291.3559992,18421.63168,1085.479129,216.201442963858,571281.2871,481219.97665,84.23520733417,163206.0245,28.568417727891,101228.6721,17.7195847975116,0,0,0,0,0,0,NA,NA,0.298259546268657
"Pleasant",291.3864792,23659.15442,1729.080124,210.977408877573,571281.2871,470052.615,82.2804152024884,168744.5543,29.5379103272574,112606.7388,19.7112598194187,0,0,0,0,0,0,NA,NA,0.299242001197605
"Pleasant",291.4169592,27782.95105,2505.219573,206.687836119483,571281.2871,458674.5483,80.2887401805814,173711.1706,30.4072922608426,124135.3089,21.729279726656,0,0,0,0,0,0,NA,NA,0.301191575254237
"Pleasant",291.4474392,33321.48084,3441.286473,201.538161594557,571281.2871,447145.9782,78.270720273344,178045.6722,31.1660256025214,134098.6424,23.4733126094023,0,0,0,0,0,0,NA,NA,0.301713760861423
"Pleasant",291.4779192,39100.81627,4541.698374,197.211960383451,571281.2871,437182.6447,76.5266873905977,183253.0942,32.0775593981468,144212.4794,25.2436903949834,0,0,0,0,0,0,NA,NA,0.303467139978564
"Pleasant",291.5083992,44609.24535,5818.460468,192.930693101905,571281.2871,427068.8077,74.7563096050166,188099.3078,32.9258654269686,154777.827,27.0931029065734,0,0,0,0,0,0,NA,NA,0.302368218489767
"Pleasant",291.5388792,55114.39152,7323.289051,187.042151521068,571281.2871,416503.4601,72.9068970934266,192102.7016,33.6266399649064,163206.0245,28.568417727891,0,0,0,0,0,0,NA,NA,0.301545010824176
"Pleasant",291.5693592,67094.47225,9194.21489,181.350529562089,571281.2871,408075.2626,71.4315822721091,196647.9081,34.422256170554,168744.5543,29.5379103272574,0,0,0,0,0,0,NA,NA,0.301150998919681
"Pleasant",291.5998392,77599.61842,11408.40801,176.580660375038,571281.2871,402536.7328,70.4620896727426,200500.7984,35.0966858056569,173711.1706,30.4072922608426,0,0,0,0,0,0,NA,NA,0.30094968417154
"Pleasant",291.6303192,90061.31045,13959.27009,171.168435325753,571281.2871,397570.1165,69.5927077391574,204714.8972,35.834343225068,178045.6722,31.1660256025214,0,0,0,0,0,0,NA,NA,0.300631065026596
"Pleasant",291.6607992,101228.6721,16881.80717,166.241233049178,571281.2871,393235.6149,68.8339743974786,208688.1903,36.5298487824388,183253.0942,32.0775593981468,0,0,210.7049375,0.0368828705329389,0,0,NA,NA,0.300090791613092
"Pleasant",291.6912792,112606.7388,20131.9944,161.648962674317,571281.2871,388028.1929,67.9224406018532,212270.1742625,37.1568575858749,188099.3078,32.9258654269686,0,0,933.1218662,0.163338426668378,0,0,NA,NA,0.299208371357616
"Pleasant",291.7217592,124135.3089,23735.21271,156.755733773456,571281.2871,383181.9793,67.0741345730314,215069.5398338,37.6468728611013,192102.7016,33.6266399649064,0,0,2227.452197,0.389904631448237,0,0,NA,NA,0.29828344845661
