"lake","site_id","date","level_m","area_m2","vol_m3"
"Pleasant","PLEAS",2018-05-23,299.0544,552830.535949857,2737258.1792125
"Pleasant","PLEAS",2018-05-24,299.0514,552706.103902614,2735599.65588574
"Pleasant","PLEAS",2018-05-25,299.0481,552569.228650646,2733775.28022631
"Pleasant","PLEAS",2018-05-26,299.045,552440.648868494,2732061.47278864
"Pleasant","PLEAS",2018-05-27,299.0394,552208.375713637,2728965.56257865
"Pleasant","PLEAS",2018-05-28,299.0391,552195.932508914,2728799.71024599
"Pleasant","PLEAS",2018-05-29,299.0389,552187.637039097,2728689.1420242
"Pleasant","PLEAS",2018-05-30,299.0422,552324.512291067,2730513.51768366
"Pleasant","PLEAS",2018-05-31,299.0461,552486.273952483,2732669.59800846
"Pleasant","PLEAS",2018-06-01,299.0422,552324.512291067,2730513.51768366
"Pleasant","PLEAS",2018-06-02,299.0357,552056.153048137,2726921.58865785
"Pleasant","PLEAS",2018-06-03,299.0327,551934.683658374,2725266.72999644
"Pleasant","PLEAS",2018-06-04,299.0244,551598.618346693,2720688.28769985
"Pleasant","PLEAS",2018-06-05,299.0234,551558.128550106,2720136.66814605
"Pleasant","PLEAS",2018-06-06,299.0207,551448.806099319,2718647.29535078
"Pleasant","PLEAS",2018-06-07,299.0156,551242.308136719,2715834.03562635
"Pleasant","PLEAS",2018-06-08,299.009,550975.075479239,2712193.34657124
"Pleasant","PLEAS",2018-06-09,299.0053,550841.566600368,2710154.18836563
"Pleasant","PLEAS",2018-06-10,299.0005,550713.579356273,2707513.8804916
"Pleasant","PLEAS",2018-06-11,298.9961,550596.257715853,2705093.59827376
"Pleasant","PLEAS",2018-06-12,298.9913,550468.270471759,2702453.29039975
"Pleasant","PLEAS",2018-06-13,298.9876,550369.613637769,2700418.05308018
"Pleasant","PLEAS",2018-06-14,298.9819,550217.628785407,2697282.68747979
"Pleasant","PLEAS",2018-06-15,298.9903,550441.606462572,2701903.22625931
"Pleasant","PLEAS",2018-06-16,298.9943,550548.262499318,2704103.482821
"Pleasant","PLEAS",2018-06-17,298.9934,550524.26489105,2703608.42509463
"Pleasant","PLEAS",2018-06-18,299.0444,552415.762459044,2731729.76812327
"Pleasant","PLEAS",2018-06-19,299.0513,552701.956167706,2735544.37177486
"Pleasant","PLEAS",2018-06-20,299.0489,552602.41052991,2734217.55311343
"Pleasant","PLEAS",2018-06-21,299.045,552440.648868494,2732061.47278864
"Pleasant","PLEAS",2018-06-22,299.0397,552220.818918363,2729131.41491135
"Pleasant","PLEAS",2018-06-23,299.0358,552060.202027795,2726976.75061322
"Pleasant","PLEAS",2018-06-24,299.0306,551849.655085537,2724108.32893343
"Pleasant","PLEAS",2018-06-25,299.0242,551590.520387375,2720577.96378908
"Pleasant","PLEAS",2018-06-26,299.0203,551432.610180683,2718426.64752925
"Pleasant","PLEAS",2018-06-27,299.0182,551347.581607849,2717268.24646626
"Pleasant","PLEAS",2018-06-28,299.0151,551222.063238426,2715558.22584946
"Pleasant","PLEAS",2018-06-29,299.0119,551092.495889345,2713793.04327728
"Pleasant","PLEAS",2018-06-30,299.0087,550962.928540264,2712027.86070511
"Pleasant","PLEAS",2018-07-01,299.0058,550854.898604961,2710429.22043584
"Pleasant","PLEAS",2018-07-02,298.997,550620.255324121,2705588.65600014
"Pleasant","PLEAS",2018-07-03,298.991,550460.271269004,2702288.27115764
"Pleasant","PLEAS",2018-07-04,298.9852,550305.620015722,2699097.89914319
"Pleasant","PLEAS",2018-07-05,298.9809,550190.964776221,2696732.62333939
"Pleasant","PLEAS",2018-07-06,298.9724,549907.450114444,2692058.90266153
