"date","atmp","P","RH","Rs","wind"
2018-02-15 01:00:00,2.6,0,89.7,3e-04,3.2
2018-02-15 02:00:00,2.5,0,91.1,3e-04,2.9
2018-02-15 03:00:00,2.8,0,91,5e-04,2.9
2018-02-15 04:00:00,2.6,0,91.4,5e-04,2.3
2018-02-15 05:00:00,2.4,0,91.5,5e-04,2
2018-02-15 06:00:00,2.3,0,91.4,5e-04,1.6
2018-02-15 07:00:00,1.9,0,91.8,0.0015,0.8
2018-02-15 08:00:00,2.2,0,88.5,0.039,1.4
2018-02-15 09:00:00,2.7,0,82.6,0.313,1.3
2018-02-15 10:00:00,3.5,0,77.7,0.9361,1.2
2018-02-15 11:00:00,5.4,0,67.8,1.6133,1.5
2018-02-15 12:00:00,6.4,0,62.5,1.7682,2.1
2018-02-15 13:00:00,6.3,0,62.2,1.2059,1.5
2018-02-15 14:00:00,6.3,0,61.5,1.1363,2.3
2018-02-15 15:00:00,5.4,0,65.3,0.8896,3.1
2018-02-15 16:00:00,4.2,0,68.6,0.5758,3.2
2018-02-15 17:00:00,3.5,0,69.5,0.1992,1.8
2018-02-15 18:00:00,2.7,0,71.1,0.0136,1.1
2018-02-15 19:00:00,1.7,0,73.4,0,1.8
2018-02-15 20:00:00,0.9,0,72.2,0,2.5
2018-02-15 21:00:00,-0.6,0,78.4,0,1.5
2018-02-15 22:00:00,-0.6,0,80.9,0,2.2
2018-02-15 23:00:00,-0.5,0,76.2,0,3.4
2018-02-16 00:00:00,-1.5,0,79.8,0,4.1
2018-02-16 01:00:00,-2.4,0,86.9,0,3.3
2018-02-16 02:00:00,-2.6,0,83.8,0,2.6
2018-02-16 03:00:00,-2.4,0,79.3,0,3.4
2018-02-16 04:00:00,-2.7,0,78.2,0,3.9
2018-02-16 05:00:00,-3.2,0,71.7,0,3.5
2018-02-16 06:00:00,-5.2,0,64.7,0,4.1
2018-02-16 07:00:00,-7.4,0,63.6,0.003,4.2
2018-02-16 08:00:00,-9.2,0,59.3,0.1475,3.5
2018-02-16 09:00:00,-9.9,0,42.7,0.8337,4.1
2018-02-16 10:00:00,-9.3,0,50.9,1.37,3.5
2018-02-16 11:00:00,-8.8,0,43.5,1.788,3.5
2018-02-16 12:00:00,-8.3,0,36.7,2.0256,3.4
2018-02-16 13:00:00,-7.7,0,34.8,2.0672,3.1
2018-02-16 14:00:00,-7.1,0,34.8,1.9128,3
2018-02-16 15:00:00,-6.5,0,35.1,1.525,2.8
2018-02-16 16:00:00,-6,0,33.5,1.0824,2.6
2018-02-16 17:00:00,-6.1,0,34.3,0.5081,2.1
2018-02-16 18:00:00,-7.4,0,38.1,0.028,1.2
2018-02-16 19:00:00,-9.2,0,47.4,0,0.6
2018-02-16 20:00:00,-9.3,0,55.2,0,1
2018-02-16 21:00:00,-9.2,0,50.8,0,1.3
2018-02-16 22:00:00,-9.2,0,52.6,0,1.8
2018-02-16 23:00:00,-9.9,0,57.3,0,1.6
2018-02-17 00:00:00,-10.5,0,63.3,0,1.7
2018-02-17 01:00:00,-10.3,0,61.8,0,2
2018-02-17 02:00:00,-9.7,0,57.9,0,2
2018-02-17 03:00:00,-9.5,0,58.5,0,1.9
2018-02-17 04:00:00,-9.1,0,59.8,0,2.8
2018-02-17 05:00:00,-8.9,0,60.4,0,2.6
2018-02-17 06:00:00,-8.2,0,63,0,3.1
2018-02-17 07:00:00,-7.7,0,65.2,7e-04,3
2018-02-17 08:00:00,-7.1,0,62.3,0.0646,3.3
2018-02-17 09:00:00,-6.3,0,59,0.2962,2.6
2018-02-17 10:00:00,-5.5,0,58.4,0.265,2.4
2018-02-17 11:00:00,-4.6,0,58.5,0.4168,2.8
2018-02-17 12:00:00,-5,0,80.2,0.4395,3
2018-02-17 13:00:00,-4.9,0,90.8,0.5686,2.1
2018-02-17 14:00:00,-4.3,0,91.6,0.5412,1.6
2018-02-17 15:00:00,-4.1,0,91.1,0.6242,2.1
2018-02-17 16:00:00,-3.5,0,88.4,0.5964,1.8
2018-02-17 17:00:00,-3.1,0,84.1,0.1146,1.9
2018-02-17 18:00:00,-3.1,0,83.3,0.029,2.3
2018-02-17 19:00:00,-3,0,83.7,0,2.1
2018-02-17 20:00:00,-3.1,0,84.3,0,1.9
2018-02-17 21:00:00,-3.9,0,85.3,0,2.1
2018-02-17 22:00:00,-4.4,0,88.1,0,2.2
2018-02-17 23:00:00,-4.5,0,88.2,0,2
2018-02-18 00:00:00,-5.7,0,91.6,0,1.2
2018-02-18 01:00:00,-6,0,92,0,1
2018-02-18 02:00:00,-7,0,93.6,0,0.6
2018-02-18 03:00:00,-9.1,0,93,0,0.2
2018-02-18 04:00:00,-11.4,0,93.1,0,0.3
2018-02-18 05:00:00,-12.4,0,92.4,0,0.4
2018-02-18 06:00:00,-11.2,0,92.7,0,0.4
2018-02-18 07:00:00,-10,0,93.2,0.0069,0.3
2018-02-18 08:00:00,-7.6,0,94.2,0.0737,0.4
2018-02-18 09:00:00,-6.1,0,89.8,0.332,1.2
2018-02-18 10:00:00,-4.2,0,80.4,0.8886,2.7
2018-02-18 11:00:00,-1.7,0,66.7,1.3934,4.3
2018-02-18 12:00:00,0.7,0.51,60.2,1.4629,5.4
2018-02-18 13:00:00,1.8,0.51,60.8,1.1695,5.4
2018-02-18 14:00:00,2.3,0,60.8,0.8793,5.6
2018-02-18 15:00:00,1.4,0,64.5,0.3661,4.8
2018-02-18 16:00:00,1.3,0,67,0.2627,4.7
2018-02-18 17:00:00,1.2,0,68.9,0.2067,4.9
2018-02-18 18:00:00,1.2,0,66.9,0.0249,5.2
2018-02-18 19:00:00,0.8,0,69.7,0,3
2018-02-18 20:00:00,0.3,0,74.1,0,2
2018-02-18 21:00:00,1.5,0,74.8,0,3.2
2018-02-18 22:00:00,2.5,0,76.2,0,3.6
2018-02-18 23:00:00,2.5,0,78,0,3.5
2018-02-19 00:00:00,1.7,0,81.6,1e-04,2.3
2018-02-19 01:00:00,0.6,0,86.9,3e-04,1.5
2018-02-19 02:00:00,0.6,0,88.4,5e-04,1.9
2018-02-19 03:00:00,0.3,0,89.7,2e-04,2
2018-02-19 04:00:00,0,0,91.5,6e-04,1.1
2018-02-19 05:00:00,-0.3,0,94.2,0.001,0.6
2018-02-19 06:00:00,-0.5,0,96.4,0.0014,0.3
2018-02-19 07:00:00,0.4,0,94,0.0032,0.2
2018-02-19 08:00:00,1,0,91.4,0.0661,0.3
2018-02-19 09:00:00,1.9,0,86.9,0.3156,0.7
2018-02-19 10:00:00,2.4,0,83.7,0.5448,1.9
2018-02-19 11:00:00,2.4,0,82.7,0.5602,2.1
2018-02-19 12:00:00,3,0,79.2,0.5389,1.7
2018-02-19 13:00:00,3.1,0,79,0.5648,2.5
2018-02-19 14:00:00,2.9,0,79.1,0.4835,2.5
2018-02-19 15:00:00,1.8,0,84.1,0.1976,2.5
2018-02-19 16:00:00,0.4,0,91.5,0.089,2.5
2018-02-19 17:00:00,-0.7,0,97,0.0787,2.4
2018-02-19 18:00:00,-1.3,0,97.6,0.0105,2.3
2018-02-19 19:00:00,-1.6,0,98,0.0051,2.1
2018-02-19 20:00:00,-1.8,0,98.3,0.005,1.7
2018-02-19 21:00:00,-1.9,0,99.8,0.0049,1.5
2018-02-19 22:00:00,-1.9,0,99.9,0.005,1.2
2018-02-19 23:00:00,-2,0,100,0.0049,1.4
2018-02-20 00:00:00,-2,0,100,0.0049,1.3
2018-02-20 01:00:00,-1.9,0,99.9,0.0048,1.2
2018-02-20 02:00:00,-2.2,0,99.9,0.0041,1.2
2018-02-20 03:00:00,-2.5,0,99.9,0.0036,1.2
2018-02-20 04:00:00,-2.5,0,99.9,0.0038,0.8
2018-02-20 05:00:00,-2.2,0.51,99.9,0.0051,0.7
2018-02-20 06:00:00,-1.2,4.83,100,0.0033,0.6
2018-02-20 07:00:00,-0.5,0.51,100,7e-04,0.4
2018-02-20 08:00:00,-0.5,0,100,0.0159,0.2
2018-02-20 09:00:00,-0.3,0,100,0.2139,0.2
2018-02-20 10:00:00,0.2,2.03,100,0.56,0.2
2018-02-20 11:00:00,0.3,0.51,100,0.3651,0.2
2018-02-20 12:00:00,0.5,0.51,100,0.4284,1.1
2018-02-20 13:00:00,0.4,0,100,0.2316,2.3
2018-02-20 14:00:00,0.1,0,99.8,0.279,2.4
2018-02-20 15:00:00,0.1,0,96,0.3716,2.6
2018-02-20 16:00:00,-0.8,0,97.1,0.1397,3.6
2018-02-20 17:00:00,-2.3,0,94.9,0.0665,3.8
2018-02-20 18:00:00,-3.3,0,90.9,0.0078,4.4
2018-02-20 19:00:00,-3.8,0,88.8,0,3.7
2018-02-20 20:00:00,-4.2,0,88.6,0,3.9
2018-02-20 21:00:00,-4.7,0,90.1,0,3.2
2018-02-20 22:00:00,-5.4,0,84.1,0,3.9
2018-02-20 23:00:00,-6.2,0,84.2,0,3.8
2018-02-21 00:00:00,-6.7,0,84.7,0,3.6
2018-02-21 01:00:00,-7.1,0,79.9,0,3.1
2018-02-21 02:00:00,-7.7,0,81,0,3
2018-02-21 03:00:00,-8.2,0,81.4,0,2.9
2018-02-21 04:00:00,-8.8,0,81,0,2.8
2018-02-21 05:00:00,-9.3,0,84.8,0,2.2
2018-02-21 06:00:00,-10.2,0,83.8,0,2.5
2018-02-21 07:00:00,-11,0,86.3,0.0055,2.3
2018-02-21 08:00:00,-11.7,0,84.5,0.14,2.7
2018-02-21 09:00:00,-11.8,0,81.3,0.6942,2.7
2018-02-21 10:00:00,-10.8,0,75.3,1.2631,2.4
2018-02-21 11:00:00,-9.3,0,69.3,1.6174,2.3
2018-02-21 12:00:00,-7.8,0,62.9,1.9566,2.5
2018-02-21 13:00:00,-6.6,0,61.1,1.9701,2.3
2018-02-21 14:00:00,-6.2,0,60.6,1.6401,2.5
2018-02-21 15:00:00,-5.8,0,60.4,1.3727,2.1
2018-02-21 16:00:00,-5,0,58.7,1.1326,1.8
2018-02-21 17:00:00,-5.1,0,59,0.5696,1.4
2018-02-21 18:00:00,-6,0,66,0.058,0.4
2018-02-21 19:00:00,-6.8,0,74.4,0,0.3
2018-02-21 20:00:00,-8.3,0,85.2,0,0.3
2018-02-21 21:00:00,-8.8,0,85.8,0,0.5
2018-02-21 22:00:00,-9.2,0,82.5,0,0.3
2018-02-21 23:00:00,-9.6,0,84.5,0,0.2
2018-02-22 00:00:00,-9.9,0,86.3,0,0.2
2018-02-22 01:00:00,-9.5,0,84.3,0,0.4
2018-02-22 02:00:00,-8.8,0,79.1,0,1
2018-02-22 03:00:00,-8.5,0,78.3,0,0.5
2018-02-22 04:00:00,-8,0,76.5,0,0.4
2018-02-22 05:00:00,-8.3,0,76.4,0,0.5
2018-02-22 06:00:00,-8.3,0,76.4,0,0.9
2018-02-22 07:00:00,-8,0,75.6,0.0021,0.9
2018-02-22 08:00:00,-7.6,0,75.5,0.1655,0.8
